analysis_sample,variable,category,n_bootstraps,mean_n,sd_n,mean_total_n,min_total_n,max_total_n,mean_prop,sd_prop,min_prop,q25_prop,median_prop,q75_prop,max_prop
COMPLETE,age_group_model,25_34,1000,690.917,18.484799127899628,1608,1608,1608,0.4296747512437811,0.011495521845708751,0.38681592039800994,0.4222636815920398,0.42972636815920395,0.43718905472636815,0.4695273631840796
COMPLETE,age_group_model,18_24,1000,415.134,16.629389062156857,1608,1608,1608,0.2581679104477612,0.010341659864525376,0.22574626865671643,0.2512437810945274,0.25808457711442784,0.26554726368159204,0.2916666666666667
COMPLETE,age_group_model,35_44,1000,194.272,12.621859107410735,1608,1608,1608,0.12081592039800995,0.007849414867792741,0.09701492537313433,0.11567164179104478,0.12064676616915423,0.12624378109452736,0.14303482587064675
COMPLETE,age_group_model,45_54,1000,139.345,10.890389137931464,1608,1608,1608,0.08665733830845772,0.006772630060902649,0.06778606965174129,0.08208955223880597,0.08644278606965174,0.0914179104477612,0.11442786069651742
COMPLETE,age_group_model,unknown,1000,91.739,7.986655474331272,1608,1608,1608,0.05705161691542288,0.0049668255437383515,0.04291044776119403,0.053482587064676616,0.056592039800995024,0.06032338308457712,0.0740049751243781
COMPLETE,age_group_model,55_64,1000,56.871,6.9978088233623765,1608,1608,1608,0.03536753731343283,0.004351871158807448,0.022388059701492536,0.03233830845771144,0.03544776119402985,0.03855721393034826,0.05472636815920398
COMPLETE,age_group_model,65_plus,1000,19.722,4.261323136641357,1608,1608,1608,0.012264925373134328,0.0026500765775132654,0.004975124378109453,0.010572139303482588,0.012437810945273632,0.014303482587064677,0.020522388059701493
EUROPE,age_group_model,25_34,1000,379.654,14.523953636294372,1000,1000,1000,0.379654,0.014523953636294407,0.32,0.37,0.38,0.389,0.424
EUROPE,age_group_model,18_24,1000,229.327,12.817423975095668,1000,1000,1000,0.229327,0.012817423975095681,0.191,0.221,0.229,0.237,0.276
EUROPE,age_group_model,35_44,1000,138.359,10.393755295808592,1000,1000,1000,0.138359,0.010393755295808571,0.104,0.131,0.139,0.145,0.172
EUROPE,age_group_model,45_54,1000,119.773,9.918157129267552,1000,1000,1000,0.119773,0.009918157129267536,0.09,0.113,0.12,0.126,0.152
EUROPE,age_group_model,unknown,1000,62.849,7.127341580000076,1000,1000,1000,0.062849,0.007127341580000082,0.044,0.057,0.063,0.068,0.088
EUROPE,age_group_model,55_64,1000,50.539,6.49512630097873,1000,1000,1000,0.050539,0.006495126300978742,0.032,0.046,0.05,0.055,0.08
EUROPE,age_group_model,65_plus,1000,19.499,4.233192520889987,1000,1000,1000,0.019499,0.00423319252088999,0.007,0.01675,0.019,0.022,0.033
LATAM,age_group_model,25_34,1000,311.263,12.133303262015996,608,608,608,0.5119457236842105,0.019956090891473703,0.45230263157894735,0.5,0.5115131578947368,0.524671052631579,0.5822368421052632
LATAM,age_group_model,18_24,1000,185.807,11.128323799682985,608,608,608,0.30560361842105266,0.01830316414421542,0.24671052631578946,0.2944078947368421,0.3059210526315789,0.31743421052631576,0.36019736842105265
LATAM,age_group_model,35_44,1000,55.913,7.005605577643485,608,608,608,0.09196217105263157,0.011522377594808364,0.05592105263157895,0.08388157894736842,0.09210526315789473,0.10032894736842106,0.13486842105263158
LATAM,age_group_model,unknown,1000,28.89,3.807939127717296,608,608,608,0.047516447368421054,0.006263057775850809,0.03125,0.04276315789473684,0.047697368421052634,0.05263157894736842,0.06907894736842106
LATAM,age_group_model,45_54,1000,19.572,4.412968421628494,608,608,608,0.03219078947368421,0.007258171746099504,0.011513157894736841,0.02631578947368421,0.03125,0.03618421052631579,0.05592105263157895
LATAM,age_group_model,55_64,1000,6.332,2.446990756779391,608,608,608,0.010414473684210526,0.004024655849966117,0,0.008223684210526315,0.009868421052631578,0.013157894736842105,0.023026315789473683
LATAM,age_group_model,65_plus,1000,0.223,0.46204381229975117,608,608,608,3.667763157894737e-4,7.599404807561649e-4,0,0,0,0,0.004934210526315789
DIEGO,age_group_model,18_24,1000,105.173,9.60986058277749,249.936,212,285,0.4206943892706886,0.03196727470423563,0.3206751054852321,0.3991504496535457,0.4219641159695817,0.4424226844894408,0.52734375
