analysis_sample,bootstrap_id,variable,category,n,total_n,prop
COMPLETE,24,self_classification_archetype_model,Stubborn,39,610,0.06393442622950819
COMPLETE,24,self_classification_archetype_model,Uninterested,15,610,0.02459016393442623
COMPLETE,25,self_classification_archetype_model,Activist,65,598,0.10869565217391304
COMPLETE,25,self_classification_archetype_model,Careful,179,598,0.2993311036789298
COMPLETE,25,self_classification_archetype_model,Early adopter,3,598,0.005016722408026756
COMPLETE,25,self_classification_archetype_model,Fearful,73,598,0.12207357859531773
COMPLETE,25,self_classification_archetype_model,Homo economicus,170,598,0.2842809364548495
COMPLETE,25,self_classification_archetype_model,Influencer,37,598,0.061872909698996656
COMPLETE,25,self_classification_archetype_model,None,7,598,0.011705685618729096
COMPLETE,25,self_classification_archetype_model,Stubborn,48,598,0.0802675585284281
COMPLETE,25,self_classification_archetype_model,Uninterested,16,598,0.026755852842809364
COMPLETE,26,self_classification_archetype_model,Activist,73,603,0.12106135986733002
COMPLETE,26,self_classification_archetype_model,Careful,192,603,0.31840796019900497
COMPLETE,26,self_classification_archetype_model,Early adopter,8,603,0.013266998341625208
COMPLETE,26,self_classification_archetype_model,Fearful,80,603,0.13266998341625208
COMPLETE,26,self_classification_archetype_model,Homo economicus,172,603,0.28524046434494194
COMPLETE,26,self_classification_archetype_model,Influencer,17,603,0.028192371475953566
COMPLETE,26,self_classification_archetype_model,None,11,603,0.01824212271973466
COMPLETE,26,self_classification_archetype_model,Stubborn,33,603,0.05472636815920398
COMPLETE,26,self_classification_archetype_model,Uninterested,17,603,0.028192371475953566
COMPLETE,27,self_classification_archetype_model,Activist,70,610,0.11475409836065574
COMPLETE,27,self_classification_archetype_model,Careful,180,610,0.29508196721311475
COMPLETE,27,self_classification_archetype_model,Early adopter,10,610,0.01639344262295082
COMPLETE,27,self_classification_archetype_model,Fearful,99,610,0.16229508196721312
COMPLETE,27,self_classification_archetype_model,Homo economicus,154,610,0.25245901639344265
COMPLETE,27,self_classification_archetype_model,Influencer,25,610,0.040983606557377046
COMPLETE,27,self_classification_archetype_model,None,10,610,0.01639344262295082
COMPLETE,27,self_classification_archetype_model,Stubborn,42,610,0.06885245901639345
COMPLETE,27,self_classification_archetype_model,Uninterested,20,610,0.03278688524590164
COMPLETE,28,self_classification_archetype_model,Activist,65,586,0.11092150170648464
COMPLETE,28,self_classification_archetype_model,Careful,169,586,0.2883959044368601
COMPLETE,28,self_classification_archetype_model,Early adopter,6,586,0.010238907849829351
COMPLETE,28,self_classification_archetype_model,Fearful,82,586,0.13993174061433447
COMPLETE,28,self_classification_archetype_model,Homo economicus,184,586,0.31399317406143346
COMPLETE,28,self_classification_archetype_model,Influencer,30,586,0.051194539249146756
COMPLETE,28,self_classification_archetype_model,None,7,586,0.011945392491467578
COMPLETE,28,self_classification_archetype_model,Stubborn,29,586,0.04948805460750853
COMPLETE,28,self_classification_archetype_model,Uninterested,14,586,0.023890784982935155
COMPLETE,29,self_classification_archetype_model,Activist,74,601,0.12312811980033278
COMPLETE,29,self_classification_archetype_model,Careful,184,601,0.30615640599001664
COMPLETE,29,self_classification_archetype_model,Early adopter,6,601,0.009983361064891847
COMPLETE,29,self_classification_archetype_model,Fearful,85,601,0.14143094841930118
COMPLETE,29,self_classification_archetype_model,Homo economicus,167,601,0.2778702163061564
COMPLETE,29,self_classification_archetype_model,Influencer,31,601,0.051580698835274545
COMPLETE,29,self_classification_archetype_model,None,14,601,0.02329450915141431
COMPLETE,29,self_classification_archetype_model,Stubborn,29,601,0.048252911813643926
COMPLETE,29,self_classification_archetype_model,Uninterested,11,601,0.018302828618968387
COMPLETE,30,self_classification_archetype_model,Activist,71,594,0.11952861952861953
COMPLETE,30,self_classification_archetype_model,Careful,178,594,0.2996632996632997
COMPLETE,30,self_classification_archetype_model,Early adopter,4,594,0.006734006734006734
COMPLETE,30,self_classification_archetype_model,Fearful,81,594,0.13636363636363635
COMPLETE,30,self_classification_archetype_model,Homo economicus,155,594,0.2609427609427609
COMPLETE,30,self_classification_archetype_model,Influencer,35,594,0.058922558922558925
COMPLETE,30,self_classification_archetype_model,None,13,594,0.021885521885521887
COMPLETE,30,self_classification_archetype_model,Stubborn,40,594,0.06734006734006734
COMPLETE,30,self_classification_archetype_model,Uninterested,17,594,0.02861952861952862
COMPLETE,31,self_classification_archetype_model,Activist,69,607,0.11367380560131796
COMPLETE,31,self_classification_archetype_model,Careful,194,607,0.31960461285008235
COMPLETE,31,self_classification_archetype_model,Early adopter,9,607,0.014827018121911038
COMPLETE,31,self_classification_archetype_model,Fearful,100,607,0.16474464579901152
COMPLETE,31,self_classification_archetype_model,Homo economicus,156,607,0.257001647446458
COMPLETE,31,self_classification_archetype_model,Influencer,19,607,0.03130148270181219
COMPLETE,31,self_classification_archetype_model,None,7,607,0.011532125205930808
COMPLETE,31,self_classification_archetype_model,Stubborn,38,607,0.06260296540362438
COMPLETE,31,self_classification_archetype_model,Uninterested,15,607,0.02471169686985173
COMPLETE,32,self_classification_archetype_model,Activist,75,614,0.12214983713355049
COMPLETE,32,self_classification_archetype_model,Careful,185,614,0.30130293159609123
COMPLETE,32,self_classification_archetype_model,Early adopter,7,614,0.011400651465798045
COMPLETE,32,self_classification_archetype_model,Fearful,70,614,0.11400651465798045
COMPLETE,32,self_classification_archetype_model,Homo economicus,175,614,0.28501628664495116
COMPLETE,32,self_classification_archetype_model,Influencer,37,614,0.06026058631921824
COMPLETE,32,self_classification_archetype_model,None,11,614,0.017915309446254073
COMPLETE,32,self_classification_archetype_model,Stubborn,36,614,0.05863192182410423
COMPLETE,32,self_classification_archetype_model,Uninterested,18,614,0.029315960912052116
COMPLETE,33,self_classification_archetype_model,Activist,62,603,0.10281923714759536
COMPLETE,33,self_classification_archetype_model,Careful,180,603,0.29850746268656714
COMPLETE,33,self_classification_archetype_model,Early adopter,7,603,0.011608623548922056
COMPLETE,33,self_classification_archetype_model,Fearful,91,603,0.15091210613598674
COMPLETE,33,self_classification_archetype_model,Homo economicus,169,603,0.2802653399668325
COMPLETE,33,self_classification_archetype_model,Influencer,33,603,0.05472636815920398
COMPLETE,33,self_classification_archetype_model,None,8,603,0.013266998341625208
COMPLETE,33,self_classification_archetype_model,Stubborn,38,603,0.06301824212271974
COMPLETE,33,self_classification_archetype_model,Uninterested,15,603,0.024875621890547265
COMPLETE,34,self_classification_archetype_model,Activist,59,599,0.09849749582637729
COMPLETE,34,self_classification_archetype_model,Careful,174,599,0.2904841402337229
COMPLETE,34,self_classification_archetype_model,Early adopter,6,599,0.01001669449081803
COMPLETE,34,self_classification_archetype_model,Fearful,95,599,0.15859766277128548
COMPLETE,34,self_classification_archetype_model,Homo economicus,167,599,0.27879799666110183
COMPLETE,34,self_classification_archetype_model,Influencer,44,599,0.07345575959933222
COMPLETE,34,self_classification_archetype_model,None,9,599,0.015025041736227046
COMPLETE,34,self_classification_archetype_model,Stubborn,38,599,0.06343906510851419
COMPLETE,34,self_classification_archetype_model,Uninterested,7,599,0.011686143572621035
COMPLETE,35,self_classification_archetype_model,Activist,58,587,0.09880749574105621
COMPLETE,35,self_classification_archetype_model,Careful,187,587,0.3185689948892675
COMPLETE,35,self_classification_archetype_model,Early adopter,11,587,0.018739352640545145
COMPLETE,35,self_classification_archetype_model,Fearful,79,587,0.13458262350936967
COMPLETE,35,self_classification_archetype_model,Homo economicus,155,587,0.26405451448040884
COMPLETE,35,self_classification_archetype_model,Influencer,26,587,0.044293015332197615
COMPLETE,35,self_classification_archetype_model,None,16,587,0.027257240204429302
COMPLETE,35,self_classification_archetype_model,Stubborn,40,587,0.06814310051107325
COMPLETE,35,self_classification_archetype_model,Uninterested,15,587,0.02555366269165247
COMPLETE,36,self_classification_archetype_model,Activist,79,608,0.1299342105263158
COMPLETE,36,self_classification_archetype_model,Careful,181,608,0.29769736842105265
COMPLETE,36,self_classification_archetype_model,Early adopter,9,608,0.014802631578947368
COMPLETE,36,self_classification_archetype_model,Fearful,81,608,0.13322368421052633
COMPLETE,36,self_classification_archetype_model,Homo economicus,160,608,0.2631578947368421
COMPLETE,36,self_classification_archetype_model,Influencer,43,608,0.07072368421052631
COMPLETE,36,self_classification_archetype_model,None,10,608,0.01644736842105263
COMPLETE,36,self_classification_archetype_model,Stubborn,24,608,0.039473684210526314
COMPLETE,36,self_classification_archetype_model,Uninterested,21,608,0.03453947368421053
COMPLETE,37,self_classification_archetype_model,Activist,65,598,0.10869565217391304
COMPLETE,37,self_classification_archetype_model,Careful,191,598,0.3193979933110368
COMPLETE,37,self_classification_archetype_model,Early adopter,6,598,0.010033444816053512
COMPLETE,37,self_classification_archetype_model,Fearful,78,598,0.13043478260869565
COMPLETE,37,self_classification_archetype_model,Homo economicus,177,598,0.2959866220735786
COMPLETE,37,self_classification_archetype_model,Influencer,26,598,0.043478260869565216
COMPLETE,37,self_classification_archetype_model,None,6,598,0.010033444816053512
COMPLETE,37,self_classification_archetype_model,Stubborn,38,598,0.06354515050167224
COMPLETE,37,self_classification_archetype_model,Uninterested,11,598,0.01839464882943144
COMPLETE,38,self_classification_archetype_model,Activist,63,607,0.10378912685337727
COMPLETE,38,self_classification_archetype_model,Careful,171,607,0.28171334431630973
COMPLETE,38,self_classification_archetype_model,Early adopter,5,607,0.008237232289950576
COMPLETE,38,self_classification_archetype_model,Fearful,80,607,0.13179571663920922
COMPLETE,38,self_classification_archetype_model,Homo economicus,173,607,0.28500823723228996
COMPLETE,38,self_classification_archetype_model,Influencer,40,607,0.06589785831960461
COMPLETE,38,self_classification_archetype_model,None,12,607,0.019769357495881382
COMPLETE,38,self_classification_archetype_model,Stubborn,37,607,0.060955518945634266
COMPLETE,38,self_classification_archetype_model,Uninterested,26,607,0.042833607907743
COMPLETE,39,self_classification_archetype_model,Activist,68,602,0.11295681063122924
COMPLETE,39,self_classification_archetype_model,Careful,189,602,0.313953488372093
COMPLETE,39,self_classification_archetype_model,Early adopter,11,602,0.018272425249169437
COMPLETE,39,self_classification_archetype_model,Fearful,89,602,0.1478405315614618
COMPLETE,39,self_classification_archetype_model,Homo economicus,153,602,0.2541528239202658
COMPLETE,39,self_classification_archetype_model,Influencer,29,602,0.04817275747508306
COMPLETE,39,self_classification_archetype_model,None,8,602,0.013289036544850499
COMPLETE,39,self_classification_archetype_model,Stubborn,39,602,0.06478405315614617
COMPLETE,39,self_classification_archetype_model,Uninterested,16,602,0.026578073089700997
COMPLETE,40,self_classification_archetype_model,Activist,83,598,0.13879598662207357
COMPLETE,40,self_classification_archetype_model,Careful,181,598,0.30267558528428096
COMPLETE,40,self_classification_archetype_model,Early adopter,4,598,0.006688963210702341
COMPLETE,40,self_classification_archetype_model,Fearful,80,598,0.13377926421404682
COMPLETE,40,self_classification_archetype_model,Homo economicus,156,598,0.2608695652173913
COMPLETE,40,self_classification_archetype_model,Influencer,34,598,0.056856187290969896
COMPLETE,40,self_classification_archetype_model,None,6,598,0.010033444816053512
COMPLETE,40,self_classification_archetype_model,Stubborn,34,598,0.056856187290969896
COMPLETE,40,self_classification_archetype_model,Uninterested,20,598,0.033444816053511704
COMPLETE,41,self_classification_archetype_model,Activist,85,609,0.13957307060755336
COMPLETE,41,self_classification_archetype_model,Careful,168,609,0.27586206896551724
COMPLETE,41,self_classification_archetype_model,Early adopter,2,609,0.003284072249589491
COMPLETE,41,self_classification_archetype_model,Fearful,70,609,0.11494252873563218
COMPLETE,41,self_classification_archetype_model,Homo economicus,193,609,0.3169129720853859
COMPLETE,41,self_classification_archetype_model,Influencer,43,609,0.07060755336617405
COMPLETE,41,self_classification_archetype_model,None,6,609,0.009852216748768473
COMPLETE,41,self_classification_archetype_model,Stubborn,26,609,0.042692939244663386
COMPLETE,41,self_classification_archetype_model,Uninterested,16,609,0.026272577996715927
COMPLETE,42,self_classification_archetype_model,Activist,66,596,0.11073825503355705
COMPLETE,42,self_classification_archetype_model,Careful,171,596,0.28691275167785235
COMPLETE,42,self_classification_archetype_model,Early adopter,5,596,0.008389261744966443
COMPLETE,42,self_classification_archetype_model,Fearful,79,596,0.1325503355704698
COMPLETE,42,self_classification_archetype_model,Homo economicus,184,596,0.3087248322147651
COMPLETE,42,self_classification_archetype_model,Influencer,29,596,0.04865771812080537
COMPLETE,42,self_classification_archetype_model,None,6,596,0.010067114093959731
COMPLETE,42,self_classification_archetype_model,Stubborn,45,596,0.07550335570469799
COMPLETE,42,self_classification_archetype_model,Uninterested,11,596,0.018456375838926176
COMPLETE,43,self_classification_archetype_model,Activist,84,593,0.14165261382799327
COMPLETE,43,self_classification_archetype_model,Careful,164,593,0.2765598650927487
COMPLETE,43,self_classification_archetype_model,Early adopter,7,593,0.011804384485666104
COMPLETE,43,self_classification_archetype_model,Fearful,75,593,0.12647554806070826
COMPLETE,43,self_classification_archetype_model,Homo economicus,171,593,0.28836424957841483
COMPLETE,43,self_classification_archetype_model,Influencer,31,593,0.05227655986509275
COMPLETE,43,self_classification_archetype_model,None,11,593,0.01854974704890388
COMPLETE,43,self_classification_archetype_model,Stubborn,35,593,0.05902192242833052
COMPLETE,43,self_classification_archetype_model,Uninterested,15,593,0.025295109612141653
COMPLETE,44,self_classification_archetype_model,Activist,77,594,0.12962962962962962
COMPLETE,44,self_classification_archetype_model,Careful,180,594,0.30303030303030304
COMPLETE,44,self_classification_archetype_model,Early adopter,6,594,0.010101010101010102
COMPLETE,44,self_classification_archetype_model,Fearful,74,594,0.12457912457912458
COMPLETE,44,self_classification_archetype_model,Homo economicus,182,594,0.3063973063973064
COMPLETE,44,self_classification_archetype_model,Influencer,28,594,0.04713804713804714
COMPLETE,44,self_classification_archetype_model,None,12,594,0.020202020202020204
COMPLETE,44,self_classification_archetype_model,Stubborn,25,594,0.04208754208754209
COMPLETE,44,self_classification_archetype_model,Uninterested,10,594,0.016835016835016835
COMPLETE,45,self_classification_archetype_model,Activist,55,598,0.09197324414715718
COMPLETE,45,self_classification_archetype_model,Careful,175,598,0.29264214046822745
COMPLETE,45,self_classification_archetype_model,Early adopter,6,598,0.010033444816053512
COMPLETE,45,self_classification_archetype_model,Fearful,89,598,0.1488294314381271
COMPLETE,45,self_classification_archetype_model,Homo economicus,177,598,0.2959866220735786
COMPLETE,45,self_classification_archetype_model,Influencer,32,598,0.05351170568561873
COMPLETE,45,self_classification_archetype_model,None,8,598,0.013377926421404682
COMPLETE,45,self_classification_archetype_model,Stubborn,41,598,0.06856187290969899
COMPLETE,45,self_classification_archetype_model,Uninterested,15,598,0.02508361204013378
COMPLETE,46,self_classification_archetype_model,Activist,67,600,0.11166666666666666
COMPLETE,46,self_classification_archetype_model,Careful,179,600,0.29833333333333334
COMPLETE,46,self_classification_archetype_model,Early adopter,3,600,0.005
COMPLETE,46,self_classification_archetype_model,Fearful,81,600,0.135
