analysis_sample,variable,category,n_bootstraps,mean_n,sd_n,mean_total_n,min_total_n,max_total_n,mean_prop,sd_prop,min_prop,q25_prop,median_prop,q75_prop,max_prop
COMPLETE,self_classification_archetype_model,Careful,1000,176.218,11.319302213590847,602.861,575,636,0.29230001052080545,0.018136736177003135,0.22666666666666666,0.27977755791045034,0.29250033346672,0.30408183833904456,0.34582623509369675
COMPLETE,self_classification_archetype_model,Homo economicus,1000,170.83,11.544191975550662,602.861,575,636,0.28336647372888774,0.018666064170765346,0.22948073701842547,0.270384895251633,0.2835570469798658,0.2957983193277311,0.35126050420168065
COMPLETE,self_classification_archetype_model,Fearful,1000,84.043,8.462905634105333,602.861,575,636,0.13939910759615537,0.01379400607977533,0.10260586319218241,0.1303455671300029,0.13919713650604731,0.1480865224625624,0.1796116504854369
COMPLETE,self_classification_archetype_model,Activist,1000,72.907,8.201683889215598,602.861,575,636,0.12093720012278952,0.013509714175126766,0.07525083612040134,0.11166461412151066,0.12009924038225925,0.13052598403137694,0.16363636363636364
COMPLETE,self_classification_archetype_model,Stubborn,1000,36.175,5.899591526553359,602.861,575,636,0.06001684025835269,0.009806892138778101,0.03140495867768595,0.05324459234608985,0.05956322926521602,0.06666666666666667,0.09286898839137644
COMPLETE,self_classification_archetype_model,Influencer,1000,30.134,5.326576425474074,602.861,575,636,0.04998380714146407,0.008800226641521318,0.02321724709784411,0.044189852700491,0.049455724173606,0.05564648117839607,0.08794788273615635
COMPLETE,self_classification_archetype_model,Uninterested,1000,15.359,3.8932346803495266,602.861,575,636,0.025475723000643043,0.0064412436256991905,0.00980392156862745,0.021311475409836064,0.02508361204013378,0.029411764705882353,0.054635761589403975
COMPLETE,self_classification_archetype_model,None,1000,10.16,3.0567537918098218,602.861,575,636,0.016852910508030134,0.0050685807919524754,0.0032733224222585926,0.013266998341625208,0.01658374792703151,0.020075292852220972,0.03488372093023256
COMPLETE,self_classification_archetype_model,Early adopter,1000,7.035,2.567170692681994,602.861,575,636,0.011667927122872013,0.004248320543213843,0.0016666666666666668,0.008361204013377926,0.011589403973509934,0.01485148514851485,0.02508361204013378
EUROPE,self_classification_archetype_model,Careful,1000,176.218,11.319302213590847,602.861,575,636,0.29230001052080545,0.018136736177003135,0.22666666666666666,0.27977755791045034,0.29250033346672,0.30408183833904456,0.34582623509369675
EUROPE,self_classification_archetype_model,Homo economicus,1000,170.83,11.544191975550662,602.861,575,636,0.28336647372888774,0.018666064170765346,0.22948073701842547,0.270384895251633,0.2835570469798658,0.2957983193277311,0.35126050420168065
EUROPE,self_classification_archetype_model,Fearful,1000,84.043,8.462905634105333,602.861,575,636,0.13939910759615537,0.01379400607977533,0.10260586319218241,0.1303455671300029,0.13919713650604731,0.1480865224625624,0.1796116504854369
EUROPE,self_classification_archetype_model,Activist,1000,72.907,8.201683889215598,602.861,575,636,0.12093720012278952,0.013509714175126766,0.07525083612040134,0.11166461412151066,0.12009924038225925,0.13052598403137694,0.16363636363636364
EUROPE,self_classification_archetype_model,Stubborn,1000,36.175,5.899591526553359,602.861,575,636,0.06001684025835269,0.009806892138778101,0.03140495867768595,0.05324459234608985,0.05956322926521602,0.06666666666666667,0.09286898839137644
EUROPE,self_classification_archetype_model,Influencer,1000,30.134,5.326576425474074,602.861,575,636,0.04998380714146407,0.008800226641521318,0.02321724709784411,0.044189852700491,0.049455724173606,0.05564648117839607,0.08794788273615635
EUROPE,self_classification_archetype_model,Uninterested,1000,15.359,3.8932346803495266,602.861,575,636,0.025475723000643043,0.0064412436256991905,0.00980392156862745,0.021311475409836064,0.02508361204013378,0.029411764705882353,0.054635761589403975
EUROPE,self_classification_archetype_model,None,1000,10.16,3.0567537918098218,602.861,575,636,0.016852910508030134,0.0050685807919524754,0.0032733224222585926,0.013266998341625208,0.01658374792703151,0.020075292852220972,0.03488372093023256
EUROPE,self_classification_archetype_model,Early adopter,1000,7.035,2.567170692681994,602.861,575,636,0.011667927122872013,0.004248320543213843,0.0016666666666666668,0.008361204013377926,0.011589403973509934,0.01485148514851485,0.02508361204013378
RENOVISOR,self_classification_archetype_model,Careful,1000,176.218,11.319302213590847,602.861,575,636,0.29230001052080545,0.018136736177003135,0.22666666666666666,0.27977755791045034,0.29250033346672,0.30408183833904456,0.34582623509369675
RENOVISOR,self_classification_archetype_model,Homo economicus,1000,170.83,11.544191975550662,602.861,575,636,0.28336647372888774,0.018666064170765346,0.22948073701842547,0.270384895251633,0.2835570469798658,0.2957983193277311,0.35126050420168065
RENOVISOR,self_classification_archetype_model,Fearful,1000,84.043,8.462905634105333,602.861,575,636,0.13939910759615537,0.01379400607977533,0.10260586319218241,0.1303455671300029,0.13919713650604731,0.1480865224625624,0.1796116504854369
RENOVISOR,self_classification_archetype_model,Activist,1000,72.907,8.201683889215598,602.861,575,636,0.12093720012278952,0.013509714175126766,0.07525083612040134,0.11166461412151066,0.12009924038225925,0.13052598403137694,0.16363636363636364
RENOVISOR,self_classification_archetype_model,Stubborn,1000,36.175,5.899591526553359,602.861,575,636,0.06001684025835269,0.009806892138778101,0.03140495867768595,0.05324459234608985,0.05956322926521602,0.06666666666666667,0.09286898839137644
RENOVISOR,self_classification_archetype_model,Influencer,1000,30.134,5.326576425474074,602.861,575,636,0.04998380714146407,0.008800226641521318,0.02321724709784411,0.044189852700491,0.049455724173606,0.05564648117839607,0.08794788273615635
RENOVISOR,self_classification_archetype_model,Uninterested,1000,15.359,3.8932346803495266,602.861,575,636,0.025475723000643043,0.0064412436256991905,0.00980392156862745,0.021311475409836064,0.02508361204013378,0.029411764705882353,0.054635761589403975
RENOVISOR,self_classification_archetype_model,None,1000,10.16,3.0567537918098218,602.861,575,636,0.016852910508030134,0.0050685807919524754,0.0032733224222585926,0.013266998341625208,0.01658374792703151,0.020075292852220972,0.03488372093023256
RENOVISOR,self_classification_archetype_model,Early adopter,1000,7.035,2.567170692681994,602.861,575,636,0.011667927122872013,0.004248320543213843,0.0016666666666666668,0.008361204013377926,0.011589403973509934,0.01485148514851485,0.02508361204013378
