"determinante","n_clusters"
"PROFITS",0
"CREDIT.SCORE",1
"RISK.PROFILE",1
"ADDED.VALUE",0
"FRUGALITY",0
"CLIMATE.PROTECTION",0
"LEGAL",1
"TRUST",1
"SAFETY",1
"COST.EFFICIENCY",1
"KNOWLEDGE",1
"OWN.COMPETENCE",1
"TECHNICAL.FIT",1
"ENVIRONMENTAL.CONCERNS",1
"SELF.SATISFACTION",1
"COMMITMENT",1
"ADHERENCE",1
"AUTARKY",0
"WELLBEING",1
"COZINESS",0
"RIGHTS.AND.DUTIES",1
"PEER.PRESSURE",1
"SUPPORT",0
"SOCIALISING",1
"AGREEMENT",1
"NOVELTY",0
"FUN",0
"RECOGNITION",1
"TRENDS",1
"AUTHORITY",0
"OWN.SIGNIFICANCE",1
"APPROVAL",0
