consensus_factor,id,determinants,mean_selection_frequency,mean_abs_loading
1,EFA1,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_23_support; det_26_novelty; det_27_fun,0.62125,0.2574952772730002
2,EFA2,det_04_added_value; det_07_legal; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_21_rights_and_duties; det_25_agreement,0.54125,0.25079244802761963
3,EFA3,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,0.95625,0.5401561674199469
4,EFA4,det_03_risk_profile; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_18_autonomy; det_26_novelty; det_32_own_significance,0.515,0.2331953730711489
5,EFA5,det_04_added_value; det_06_climate_protection; det_13_technical_fit; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_32_own_significance,0.76625,0.3253151495970107
6,EFA6,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing; det_20_coziness,0.73625,0.37977128243833724
