"scenario","type","K","D","assigned_pct","unassigned_pct"
"10-32","pos",1,4,12.5055407801418,87.4944592198582
"10-32","pos",1,5,13.5527482269504,86.4472517730496
"10-32","pos",1,6,43.1017287234042,56.8982712765958
"10-32","pos",1,7,44.7417996453901,55.2582003546099
"10-32","pos",1,8,74.396054964539,25.603945035461
"10-32","pos",1,9,75.6981382978723,24.3018617021277
"10-32","pos",1,10,90.9906914893617,9.0093085106383
"10-32","pos",1,11,91.688829787234,8.31117021276596
"10-32","pos",1,12,96.5591755319149,3.44082446808511
"10-32","pos",1,13,96.9858156028369,3.01418439716312
"10-32","pos",1,14,98.6702127659574,1.32978723404255
"10-32","pos",1,15,98.7865691489362,1.21343085106383
"10-32","pos",1,16,99.468085106383,0.531914893617021
"10-32","pos",1,17,99.4902482269504,0.509751773049645
"10-32","pos",1,18,99.8005319148936,0.199468085106383
"10-32","pos",1,19,99.822695035461,0.177304964539007
"10-32","pos",1,20,99.9445921985816,0.0554078014184397
"10-32","pos",2,0,0.0110815602836879,99.9889184397163
"10-32","pos",2,1,0.0941932624113475,99.9058067375886
"10-32","pos",2,2,1.81183510638298,98.188164893617
"10-32","pos",2,3,2.73160460992908,97.2683953900709
"10-32","pos",2,4,22.0412234042553,77.9587765957447
"10-32","pos",2,5,23.6092641843972,76.3907358156028
"10-32","pos",2,6,52.9366134751773,47.0633865248227
"10-32","pos",2,7,54.5046542553192,45.4953457446808
"10-32","pos",2,8,76.4128989361702,23.5871010638298
"10-32","pos",2,9,77.7371453900709,22.2628546099291
"10-32","pos",2,10,93.4175531914894,6.58244680851064
"10-32","pos",2,11,94.1212322695035,5.87876773049645
"10-32","pos",2,12,97.2351507092199,2.76484929078014
"10-32","pos",2,13,97.6894946808511,2.31050531914894
"10-32","pos",2,14,99.0913120567376,0.908687943262411
"10-32","pos",2,15,99.2021276595745,0.797872340425532
"10-32","pos",2,16,99.7894503546099,0.210549645390071
"10-32","pos",2,17,99.8282358156028,0.171764184397163
"10-32","pos",2,18,100,0
"10-32","pos",2,19,100,0
"10-32","pos",2,20,100,0
"10-32","pos",3,0,0.0166223404255319,99.9833776595745
"10-32","pos",3,1,0.132978723404255,99.8670212765958
"10-32","pos",3,2,2.30496453900709,97.6950354609929
"10-32","pos",3,3,3.45190602836879,96.5480939716312
"10-32","pos",3,4,24.1633421985816,75.8366578014184
"10-32","pos",3,5,26.0416666666667,73.9583333333333
"10-32","pos",3,6,56.7597517730497,43.2402482269504
"10-32","pos",3,7,57.7792553191489,42.2207446808511
"10-32","pos",3,8,80.396719858156,19.603280141844
"10-32","pos",3,9,81.7209663120567,18.2790336879433
"10-32","pos",3,10,93.855274822695,6.14472517730496
"10-32","pos",3,11,94.5589539007092,5.44104609929078
"10-32","pos",3,12,97.5454343971631,2.45456560283688
"10-32","pos",3,13,97.9776152482269,2.02238475177305
"10-32","pos",3,14,99.3628102836879,0.637189716312057
"10-32","pos",3,15,99.4736258865248,0.526374113475177
"10-32","pos",3,16,99.9612145390071,0.0387854609929078
"10-32","pos",3,17,99.927969858156,0.0720301418439716
"10-32","pos",3,18,100,0
"10-32","pos",3,19,100,0
"10-32","pos",3,20,100,0
"10-32","pos",4,0,0.0221631205673759,99.9778368794326
"10-32","pos",4,1,0.144060283687943,99.8559397163121
"10-32","pos",4,2,2.68173758865248,97.3182624113475
"10-32","pos",4,3,4.00044326241135,95.9995567375886
"10-32","pos",4,4,25.8200354609929,74.1799645390071
"10-32","pos",4,5,27.7870124113475,72.2129875886525
"10-32","pos",4,6,69.8249113475177,30.1750886524823
"10-32","pos",4,7,70.8554964539007,29.1445035460993
"10-32","pos",4,8,85.7491134751773,14.2508865248227
"10-32","pos",4,9,86.5913120567376,13.4086879432624
"10-32","pos",4,10,95.1130319148936,4.88696808510638
"10-32","pos",4,11,95.8056294326241,4.19437056737589
"10-32","pos",4,12,98.6314273049645,1.36857269503546
"10-32","pos",4,13,99.0359042553192,0.964095744680851
"10-32","pos",4,14,99.8171542553192,0.182845744680851
"10-32","pos",4,15,99.8503989361702,0.149601063829787
"10-32","pos",4,16,100,0
"10-32","pos",4,17,100,0
"10-32","pos",4,18,100,0
"10-32","pos",4,19,100,0
"10-32","pos",4,20,100,0
"10-32","pos",5,0,0.0277039007092199,99.9722960992908
"10-32","pos",5,1,0.166223404255319,99.8337765957447
"10-32","pos",5,2,3.10837765957447,96.8916223404255
"10-32","pos",5,3,4.85372340425532,95.1462765957447
"10-32","pos",5,4,30.3911790780142,69.6088209219858
"10-32","pos",5,5,32.3581560283688,67.6418439716312
"10-32","pos",5,6,71.8639184397163,28.1360815602837
"10-32","pos",5,7,71.3874113475177,28.6125886524823
"10-32","pos",5,8,85.8876329787234,14.1123670212766
"10-32","pos",5,9,86.7298315602837,13.2701684397163
"10-32","pos",5,10,95.4066932624114,4.59330673758865
"10-32","pos",5,11,96.0328014184397,3.96719858156028
"10-32","pos",5,12,98.8308953900709,1.16910460992908
"10-32","pos",5,13,99.5179521276596,0.482047872340426
