analysis_sample,matrix_name,matrix,greedy_d_strategy,greedy_h,weighting,n_kmeans_prototypes,min_kmeans_signature_size,max_kmeans_signature_size,n_efa_prototypes,min_efa_signature_size,max_efa_signature_size,mean_kmeans_efa_similarity,median_kmeans_efa_similarity,min_kmeans_efa_similarity,max_kmeans_efa_similarity,n_kmeans_efa_matches_ge_75,mean_best_kmeans_expert_jaccard,max_best_kmeans_expert_jaccard,mean_best_efa_expert_jaccard,max_best_efa_expert_jaccard,coverage_kmeans_after_6_prototypes,coverage_efa_after_6_prototypes,coverage_after_6_prototypes
COMPLETE,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,52.11894586894587,35.41666666666667,30.76923076923077,100,2,45.771011396011396,55.55555555555556,35.075295075295074,50,90.69184523809244,60.29172619047414,90.69184523809244
COMPLETE,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,52.346681096681095,60.714285714285715,0,81.81818181818181,1,53.68416305916306,68.75,34.96051198257081,44.44444444444444,96.20660714285496,64.87330357142632,96.20660714285496
COMPLETE,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,56.75925925925926,71.66666666666666,11.11111111111111,77.77777777777777,2,50.64102564102564,60,34.64209401709402,44.44444444444444,86.53925595238083,55.948720238095824,86.53925595238083
COMPLETE,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,56.388888888888886,51.66666666666667,20,100,2,28.992374727668846,50,32.601817973335,55.55555555555556,58.36610119047407,51.89366071428712,58.36610119047407
EUROPE,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,45.11904761904762,43.75,26.666666666666668,62.5,0,41.20701058201058,50,36.88792688792689,50,87.82300595238,49.86928571428471,87.82300595238
EUROPE,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,62.91666666666667,75,13.333333333333334,87.5,4,58.60845295055822,75,40.71195144724557,50,92.730416666666,54.037380952382314,92.730416666666
EUROPE,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,60.05952380952381,60.83333333333333,12.5,100,3,51.35977570188096,64.28571428571429,39.060846560846564,57.142857142857146,77.12931547619017,46.47279761904731,77.12931547619017
EUROPE,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,12,64.36868686868686,62.27272727272727,33.333333333333336,100,2,33.453654188948306,54.54545454545455,31.973772414948886,50,54.477559523805,47.42074404761899,54.477559523805
LATAM,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,50.13176638176638,48.33333333333333,12.5,93.33333333333331,1,40.163911381016646,50,34.60557688498865,50,89.78014880952142,70.15074404761697,89.78014880952142
LATAM,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,14,6,8,15,56.054131054131055,61.111111111111114,8.333333333333334,100,2,47.17823026646556,66.66666666666667,34.60557688498865,50,95.527470238095475,60.99035714285815,95.527470238095475
