analysis_sample,matrix_name,kmeans_prototype,kmeans_signature_size,kmeans_determinants,kmeans_incremental_covered_pct,kmeans_cumulative_covered_pct,efa_match,common_km_efa,similarity_km_efa_pct,efa_determinants_found_in_km_pct,jaccard_km_efa_pct,common_determinants_km_efa,efa_signature_size,efa_determinants,efa_incremental_covered_pct,efa_cumulative_covered_pct,expert_match,expert_n_active,common_km_expert,km_determinants_found_in_expert_pct,expert_determinants_found_in_km_pct,jaccard_km_expert_pct,common_determinants_km_expert,expert_determinants
COMPLETE,matrix_32_pos_0_1,KM5,15,det_02_credit_score; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_32_own_significance,1.9624999999999515,95.4937797619026,EFA1,0,0,0,0,NA,8,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,15.303571428570775,15.303571428570775,Careful,12,11,73.33333333333333,91.66666666666669,68.75,det_02_credit_score; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_pos_0_1,KM6,8,det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_32_own_significance,0.7128273809523625,96.20660714285496,EFA4,4,50,50,33.333333333333336,det_15_self_satisfaction; det_16_commitment; det_19_wellbeing; det_32_own_significance,8,det_09_safety; det_15_self_satisfaction; det_16_commitment; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_27_fun; det_32_own_significance,11.103809523809176,53.07351190475988,Careful,12,6,75,50,42.857142857142854,det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM1,10,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,28.649226190476295,28.649226190476295,EFA1,7,70,87.5,63.63636363636363,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,8,det_22_peer_pressure; det_24_socialising; det_25_agreement; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,15.43005952380954,15.43005952380954,Influencer,5,5,50,100,50,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_ext_0_1,KM2,15,det_01_profits; det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_21_rights_and_duties,24.76937499999977,53.41860119047606,EFA5,11,73.33333333333333,78.57142857142857,61.111111111111114,det_01_profits; det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing,14,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness,7.106547619047702,51.26803571428629,Fearful,9,9,60,100,60,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM3,8,det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing,8.416398809523885,61.83499999999994,EFA3,6,75,54.54545454545455,46.15384615384615,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction; det_16_commitment; det_17_adherence,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties,12.742380952381238,41.906428571429046,Careful,12,7,87.5,58.333333333333336,53.84615384615385,det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM4,12,det_02_credit_score; det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing; det_28_recognition; det_31_approval,13.6320535714287,75.46705357142864,EFA6,4,33.333333333333336,50,25,det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction,8,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_23_support,4.680684523809536,55.948720238095824,Fearful,9,7,58.333333333333336,77.77777777777777,50,det_02_credit_score; det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,matrix_32_ext_0_1,KM5,9,det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_24_socialising; det_28_recognition; det_30_authority; det_31_approval,5.049821428571359,80.516875,EFA4,7,77.77777777777777,46.666666666666664,41.1764705882353,det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_24_socialising; det_28_recognition; det_30_authority; det_31_approval,15,det_02_credit_score; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,2.255059523809535,44.16148809523859,Influencer,5,4,44.44444444444444,80,40,det_11_knowledge; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_ext_0_1,KM6,9,det_02_credit_score; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_17_adherence; det_19_wellbeing; det_28_recognition; det_31_approval,6.022380952380846,86.53925595238083,EFA2,1,11.11111111111111,12.5,6.25,det_14_environmental_concerns,8,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance,13.733988095238272,29.164047619047818,Careful,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_14_environmental_concerns; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_z_abs,KM1,8,det_22_peer_pressure; det_24_socialising; det_25_agreement; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,21.179702380951465,21.179702380951465,EFA1,8,100,80,80,det_22_peer_pressure; det_24_socialising; det_25_agreement; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,10,det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,17.332767857143185,17.332767857143185,Influencer,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_z_abs,KM2,8,det_02_credit_score; det_05_frugality; det_06_climate_protection; det_14_environmental_concerns; det_22_peer_pressure; det_23_support; det_25_agreement; det_29_trends,14.496815476189957,35.67651785714143,EFA6,4,50,50,33.333333333333336,det_02_credit_score; det_22_peer_pressure; det_25_agreement; det_29_trends,8,det_02_credit_score; det_18_autonomy; det_22_peer_pressure; det_25_agreement; det_26_novelty; det_27_fun; det_29_trends; det_32_own_significance,3.7655654761905777,51.89366071428712,Careful,12,3,37.5,25,17.647058823529413,det_02_credit_score; det_06_climate_protection; det_14_environmental_concerns,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,matrix_32_z_abs,KM3,15,det_01_profits; det_02_credit_score; det_05_frugality; det_06_climate_protection; det_07_legal; det_11_knowledge; det_14_environmental_concerns; det_21_rights_and_duties; det_22_peer_pressure; det_23_support; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends,4.202053571428447,39.87857142856987,EFA3,6,40,40,25,det_01_profits; det_02_credit_score; det_05_frugality; det_11_knowledge; det_21_rights_and_duties; det_25_agreement,15,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_21_rights_and_duties; det_25_agreement,3.997261904761988,32.02538690476277,Early.Adopter,6,4,26.666666666666668,66.66666666666667,23.529411764705884,det_11_knowledge; det_14_environmental_concerns; det_26_novelty; det_29_trends,det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction; det_17_adherence; det_26_novelty; det_29_trends
COMPLETE,matrix_32_z_abs,KM4,15,det_01_profits; det_06_climate_protection; det_07_legal; det_14_environmental_concerns; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval; det_32_own_significance,2.920684523809454,42.799255952379326,EFA4,3,20,37.5,15,det_07_legal; det_26_novelty; det_32_own_significance,8,det_04_added_value; det_07_legal; det_09_safety; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_26_novelty; det_32_own_significance,7.344672619047708,39.370059523810475,Influencer,5,4,26.666666666666668,80,25,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,matrix_32_z_abs,KM5,8,det_01_profits; det_04_added_value; det_05_frugality; det_06_climate_protection; det_14_environmental_concerns; det_23_support; det_27_fun; det_32_own_significance,8.112172619047374,50.9114285714267,EFA5,6,75,75,60,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_23_support; det_27_fun; det_32_own_significance,8,det_04_added_value; det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_27_fun; det_32_own_significance,8.758035714286072,48.12809523809655,Homo.Economicus,9,2,25,22.22222222222222,13.333333333333334,det_01_profits; det_04_added_value,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,matrix_32_z_abs,KM6,15,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing,7.454672619047367,58.36610119047407,EFA2,8,53.333333333333336,100,53.333333333333336,det_08_trust; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy,8,det_08_trust; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy,10.695357142857594,28.028125000000777,Careful,12,9,60,75,50,det_02_credit_score; det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
EUROPE,matrix_32_raw_0_1,KM1,8,det_10_cost_efficiency; det_11_knowledge; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,23.776398809523332,23.776398809523332,EFA1,5,62.5,62.5,45.45454545454545,det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,8,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,15.53154761904716,15.53154761904716,Influencer,5,4,50,80,44.44444444444444,det_11_knowledge; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EUROPE,matrix_32_raw_0_1,KM2,12,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_19_wellbeing; det_20_coziness; det_21_rights_and_duties,34.897232142856936,58.67363095238028,EFA4,7,58.333333333333336,46.666666666666664,35,det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_17_adherence; det_21_rights_and_duties,15,det_01_profits; det_04_added_value; det_06_climate_protection; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_21_rights_and_duties; det_23_support; det_24_socialising; det_25_agreement; det_32_own_significance,3.5566666666665947,35.591041666665824,Fearful,9,7,58.333333333333336,77.77777777777777,50,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
EUROPE,matrix_32_raw_0_1,KM3,14,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,9.65592261904754,68.32955357142781,EFA5,5,35.714285714285715,50,26.31578947368421,det_08_trust; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence,10,det_04_added_value; det_08_trust; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_32_own_significance,10.154374999999972,45.7454166666658,Fearful,9,7,50,77.77777777777777,43.75,det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
EUROPE,matrix_32_raw_0_1,KM4,15,det_01_profits; det_06_climate_protection; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing; det_20_coziness; det_22_peer_pressure; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,1.895684523809488,70.2252380952373,EFA3,4,26.666666666666668,44.44444444444444,20,det_01_profits; det_10_cost_efficiency; det_19_wellbeing; det_20_coziness,9,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_07_legal; det_09_safety; det_10_cost_efficiency; det_19_wellbeing; det_20_coziness,6.023363095237939,32.03437499999923,Influencer,5,5,33.333333333333336,100,33.333333333333336,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
