"K","archetypes_used"
1,"Careful"
2,"Careful | Stubborn"
3,"Careful | Stubborn | Fearful"
4,"Careful | Stubborn | Fearful | Cluster8"
5,"Careful | Stubborn | Fearful | Cluster8 | Early.Adopter"
6,"Careful | Stubborn | Fearful | Cluster8 | Early.Adopter | Homo.Economicus"
7,"Careful | Stubborn | Fearful | Cluster8 | Early.Adopter | Homo.Economicus | Influencer"
8,"Careful | Stubborn | Fearful | Cluster8 | Early.Adopter | Homo.Economicus | Influencer | Uninterested"
