"archetype","best_pattern","best_pattern_idx","best_dist","best_pattern_freq"
"expert_1","pattern_5586",5586,0,3
"expert_2","pattern_12416",12416,8,1
"expert_3","pattern_2049",2049,3,12
"expert_4","pattern_419",419,0,180
"expert_5","pattern_3599",3599,2,3
"expert_6","pattern_3945",3945,8,4
"expert_7","pattern_2034",2034,9,3
"expert_8","pattern_5112",5112,5,8
"expert_9","pattern_5299",5299,6,3
