"D","assigned_pct","unassigned_pct"
0,0.0188483649043446,99.9811516350957
1,0.2607357145101,99.7392642854899
2,1.73090817704897,98.269091822951
3,6.01262840448591,93.9873715955141
4,18.5436496717243,81.4563503282757
5,26.4442559607954,73.5557440392046
6,54.9052869663557,45.0947130336443
7,64.6404674394496,35.3595325605504
8,87.4249992146515,12.5750007853485
9,91.6219018000188,8.37809819998115
10,96.6858291709861,3.31417082901392
11,97.3769358841454,2.62306411585462
12,97.518298620928,2.48170137907203
13,97.8952659190149,2.10473408098514
14,99.908899569629,0.0911004303709986
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
