"mode","scenario","type","K","D","cluster","n_active_dims","active_dims","n_patterns","pct_total_patterns","pct_rest_patterns","assigned_pct","unassigned_pct"
"9","100-9","pos",1,0,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",1,1.61290322580645,100,34.25575,65.74425
"9","100-9","pos",1,2,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",27,43.5483870967742,100,34.25575,65.74425
"9","100-9","pos",1,4,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",55,88.7096774193548,100,34.25575,65.74425
"9","100-9","pos",1,6,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",61,98.3870967741936,100,34.25575,65.74425
"9","100-9","pos",1,8,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",62,100,100,34.25575,65.74425
"9","100-9","pos",1,10,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",62,100,100,34.25575,65.74425
"9","100-9","pos",2,0,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",1,1.61290322580645,100,61.695325,38.304675
"9","100-9","pos",2,0,2,9,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS | RELATEDNESS | STIMULATION | POPULARITY | MEANING",1,1.61290322580645,98.3870967741936,61.695325,38.304675
"9","100-9","pos",2,2,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",27,43.5483870967742,100,61.695325,38.304675
"9","100-9","pos",2,2,2,9,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS | RELATEDNESS | STIMULATION | POPULARITY | MEANING",13,20.9677419354839,56.4516129032258,61.695325,38.304675
"9","100-9","pos",2,4,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",55,88.7096774193548,100,61.695325,38.304675
"9","100-9","pos",2,4,2,8,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | RELATEDNESS | STIMULATION | POPULARITY | MEANING",5,8.06451612903226,11.2903225806452,61.695325,38.304675
"9","100-9","pos",2,6,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",61,98.3870967741936,100,61.695325,38.304675
"9","100-9","pos",2,6,2,5,"FINANCIAL | RELATEDNESS | STIMULATION | POPULARITY | MEANING",1,1.61290322580645,1.61290322580645,61.695325,38.304675
"9","100-9","pos",2,8,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",62,100,100,61.695325,38.304675
"9","100-9","pos",2,10,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",62,100,100,61.695325,38.304675
"9","100-9","pos",3,0,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",1,1.61290322580645,100,76.6883375,23.3116625
"9","100-9","pos",3,0,2,9,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS | RELATEDNESS | STIMULATION | POPULARITY | MEANING",1,1.61290322580645,98.3870967741936,76.6883375,23.3116625
"9","100-9","pos",3,0,3,4,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY",1,1.61290322580645,96.7741935483871,76.6883375,23.3116625
"9","100-9","pos",3,2,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",27,43.5483870967742,100,76.6883375,23.3116625
"9","100-9","pos",3,2,2,9,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS | RELATEDNESS | STIMULATION | POPULARITY | MEANING",13,20.9677419354839,56.4516129032258,76.6883375,23.3116625
"9","100-9","pos",3,2,3,2,"COMPETENCE | AUTONOMY",11,17.741935483871,35.4838709677419,76.6883375,23.3116625
"9","100-9","pos",3,4,1,5,"FINANCIAL | SECURITY | COMPETENCE | AUTONOMY | PHYSICALNESS",55,88.7096774193548,100,76.6883375,23.3116625
