"mode","scenario","type","K","D","n_clusters_found","assigned_pct","unassigned_pct"
"9","10-9","ext",1,0,1,30.0236375,69.9763625
"9","10-9","ext",1,2,1,30.0236375,69.9763625
"9","10-9","ext",1,4,1,30.0236375,69.9763625
"9","10-9","ext",1,6,1,30.0236375,69.9763625
"9","10-9","ext",1,8,1,30.0236375,69.9763625
"9","10-9","ext",1,10,1,30.0236375,69.9763625
"9","10-9","ext",2,0,2,39.5936375,60.4063625
"9","10-9","ext",2,2,2,39.5936375,60.4063625
"9","10-9","ext",2,4,2,39.5936375,60.4063625
"9","10-9","ext",2,6,2,39.5936375,60.4063625
"9","10-9","ext",2,8,2,39.5936375,60.4063625
"9","10-9","ext",2,10,1,39.5936375,60.4063625
"9","10-9","ext",3,0,3,47.6078875,52.3921125
"9","10-9","ext",3,2,3,47.6078875,52.3921125
"9","10-9","ext",3,4,2,47.6078875,52.3921125
"9","10-9","ext",3,6,2,47.6078875,52.3921125
"9","10-9","ext",3,8,2,47.6078875,52.3921125
"9","10-9","ext",3,10,1,47.6078875,52.3921125
"9","10-9","ext",4,0,4,55.2867625,44.7132375
"9","10-9","ext",4,2,4,55.2867625,44.7132375
"9","10-9","ext",4,4,2,55.2867625,44.7132375
"9","10-9","ext",4,6,2,55.2867625,44.7132375
"9","10-9","ext",4,8,2,55.2867625,44.7132375
"9","10-9","ext",4,10,1,55.2867625,44.7132375
"9","10-9","ext",5,0,5,60.996025,39.003975
"9","10-9","ext",5,2,5,60.996025,39.003975
"9","10-9","ext",5,4,2,60.996025,39.003975
"9","10-9","ext",5,6,2,60.996025,39.003975
"9","10-9","ext",5,8,2,60.996025,39.003975
"9","10-9","ext",5,10,1,60.996025,39.003975
"9","10-9","ext",6,0,6,66.6044,33.3956
"9","10-9","ext",6,2,6,66.6044,33.3956
"9","10-9","ext",6,4,2,66.6044,33.3956
"9","10-9","ext",6,6,2,66.6044,33.3956
"9","10-9","ext",6,8,2,66.6044,33.3956
"9","10-9","ext",6,10,1,66.6044,33.3956
"9","10-9","ext",7,0,7,71.5510625,28.4489375
"9","10-9","ext",7,2,7,71.5510625,28.4489375
"9","10-9","ext",7,4,2,71.5510625,28.4489375
"9","10-9","ext",7,6,2,71.5510625,28.4489375
"9","10-9","ext",7,8,2,71.5510625,28.4489375
"9","10-9","ext",7,10,1,71.5510625,28.4489375
"9","10-9","ext",8,0,8,74.7985625,25.2014375
"9","10-9","ext",8,2,8,74.7985625,25.2014375
"9","10-9","ext",8,4,2,74.7985625,25.2014375
"9","10-9","ext",8,6,2,74.7985625,25.2014375
"9","10-9","ext",8,8,2,74.7985625,25.2014375
"9","10-9","ext",8,10,1,74.7985625,25.2014375
"9","10-9","pos",1,0,1,34.50195,65.49805
"9","10-9","pos",1,2,1,34.50195,65.49805
"9","10-9","pos",1,4,1,34.50195,65.49805
"9","10-9","pos",1,6,1,34.50195,65.49805
"9","10-9","pos",1,8,1,34.50195,65.49805
"9","10-9","pos",1,10,1,34.50195,65.49805
"9","10-9","pos",2,0,2,62.045875,37.954125
"9","10-9","pos",2,2,2,62.045875,37.954125
"9","10-9","pos",2,4,2,62.045875,37.954125
"9","10-9","pos",2,6,2,62.045875,37.954125
"9","10-9","pos",2,8,1,62.045875,37.954125
"9","10-9","pos",2,10,1,62.045875,37.954125
