parameter,value
input_file,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/03_2_phase_dimension_scores/all_sources_integrated_component_quality_phase_scores.csv
bootstrap_scenario,04_2_propensity_bootstrap_eu_pfe_esn_renew_greens_merged
bootstrap_index_file,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/04_2_propensity_bootstrap_eu_pfe_esn_renew_greens_merged/bootstrap_samples_index.csv
bootstrap_dataset_file,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/04_2_propensity_bootstrap_eu_pfe_esn_renew_greens_merged/dataset_with_propensity_and_electoral_groups.csv
out_dir,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/outputs/03_5_bootstrap_boxplots
fig_dir,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/figures/03_5_bootstrap_boxplots
max_bootstraps,Inf
n_bootstraps_used,1000
n_bootstrap_rows_used,1000000
self_classification_col,self_classification_raw_clean
boxplot_vars,"dataset_source, source_survey, country_model, country_model_grouped, age_group_model, gender_model, education_model, employment_model, city_size_model, tenure_model, income_model, vote_status_declared, voted_observed, political_left_right_model, political_block_model, target_electoral_group, target_sample_type, row_quality_final, usable_for_main_analysis, usable_for_clustering, political_lr_group, self_classification_archetype_model"
