bootstrap_id,variable,category,n,total_n,prop
48,dataset_source,diego,250,1000,0.25
48,dataset_source,rv,618,1000,0.618
48,dataset_source,why,132,1000,0.132
49,dataset_source,diego,215,1000,0.215
49,dataset_source,rv,627,1000,0.627
49,dataset_source,why,158,1000,0.158
50,dataset_source,diego,239,1000,0.239
50,dataset_source,rv,623,1000,0.623
50,dataset_source,why,138,1000,0.138
51,dataset_source,diego,211,1000,0.211
51,dataset_source,rv,648,1000,0.648
51,dataset_source,why,141,1000,0.141
52,dataset_source,diego,230,1000,0.23
52,dataset_source,rv,633,1000,0.633
52,dataset_source,why,137,1000,0.137
53,dataset_source,diego,217,1000,0.217
53,dataset_source,rv,621,1000,0.621
53,dataset_source,why,162,1000,0.162
54,dataset_source,diego,214,1000,0.214
54,dataset_source,rv,644,1000,0.644
54,dataset_source,why,142,1000,0.142
55,dataset_source,diego,229,1000,0.229
55,dataset_source,rv,632,1000,0.632
55,dataset_source,why,139,1000,0.139
56,dataset_source,diego,234,1000,0.234
56,dataset_source,rv,634,1000,0.634
56,dataset_source,why,132,1000,0.132
57,dataset_source,diego,253,1000,0.253
57,dataset_source,rv,616,1000,0.616
57,dataset_source,why,131,1000,0.131
58,dataset_source,diego,232,1000,0.232
58,dataset_source,rv,642,1000,0.642
58,dataset_source,why,126,1000,0.126
59,dataset_source,diego,213,1000,0.213
59,dataset_source,rv,639,1000,0.639
59,dataset_source,why,148,1000,0.148
60,dataset_source,diego,223,1000,0.223
60,dataset_source,rv,627,1000,0.627
60,dataset_source,why,150,1000,0.15
61,dataset_source,diego,232,1000,0.232
61,dataset_source,rv,634,1000,0.634
61,dataset_source,why,134,1000,0.134
62,dataset_source,diego,224,1000,0.224
62,dataset_source,rv,637,1000,0.637
62,dataset_source,why,139,1000,0.139
63,dataset_source,diego,231,1000,0.231
63,dataset_source,rv,623,1000,0.623
63,dataset_source,why,146,1000,0.146
64,dataset_source,diego,231,1000,0.231
64,dataset_source,rv,634,1000,0.634
64,dataset_source,why,135,1000,0.135
65,dataset_source,diego,226,1000,0.226
65,dataset_source,rv,639,1000,0.639
65,dataset_source,why,135,1000,0.135
66,dataset_source,diego,229,1000,0.229
66,dataset_source,rv,637,1000,0.637
66,dataset_source,why,134,1000,0.134
67,dataset_source,diego,226,1000,0.226
67,dataset_source,rv,645,1000,0.645
67,dataset_source,why,129,1000,0.129
68,dataset_source,diego,236,1000,0.236
68,dataset_source,rv,624,1000,0.624
68,dataset_source,why,140,1000,0.14
69,dataset_source,diego,224,1000,0.224
69,dataset_source,rv,639,1000,0.639
69,dataset_source,why,137,1000,0.137
70,dataset_source,diego,253,1000,0.253
70,dataset_source,rv,618,1000,0.618
70,dataset_source,why,129,1000,0.129
71,dataset_source,diego,218,1000,0.218
71,dataset_source,rv,638,1000,0.638
71,dataset_source,why,144,1000,0.144
72,dataset_source,diego,231,1000,0.231
72,dataset_source,rv,626,1000,0.626
72,dataset_source,why,143,1000,0.143
73,dataset_source,diego,221,1000,0.221
73,dataset_source,rv,631,1000,0.631
73,dataset_source,why,148,1000,0.148
74,dataset_source,diego,238,1000,0.238
74,dataset_source,rv,633,1000,0.633
74,dataset_source,why,129,1000,0.129
75,dataset_source,diego,257,1000,0.257
75,dataset_source,rv,613,1000,0.613
75,dataset_source,why,130,1000,0.13
76,dataset_source,diego,219,1000,0.219
76,dataset_source,rv,643,1000,0.643
76,dataset_source,why,138,1000,0.138
77,dataset_source,diego,246,1000,0.246
77,dataset_source,rv,637,1000,0.637
77,dataset_source,why,117,1000,0.117
78,dataset_source,diego,240,1000,0.24
78,dataset_source,rv,624,1000,0.624
78,dataset_source,why,136,1000,0.136
79,dataset_source,diego,226,1000,0.226
79,dataset_source,rv,649,1000,0.649
79,dataset_source,why,125,1000,0.125
80,dataset_source,diego,239,1000,0.239
80,dataset_source,rv,638,1000,0.638
80,dataset_source,why,123,1000,0.123
81,dataset_source,diego,240,1000,0.24
81,dataset_source,rv,626,1000,0.626
81,dataset_source,why,134,1000,0.134
82,dataset_source,diego,247,1000,0.247
82,dataset_source,rv,614,1000,0.614
82,dataset_source,why,139,1000,0.139
83,dataset_source,diego,222,1000,0.222
83,dataset_source,rv,647,1000,0.647
