variable,category,n_bootstraps,mean_n,sd_n,mean_total_n,mean_prop,sd_prop,min_prop,q25_prop,median_prop,q75_prop,max_prop
age_group_model,25_34,1000,367.522,15.190070910112787,1000,0.367522,0.015190070910112765,0.316,0.358,0.367,0.377,0.413
age_group_model,18_24,1000,216.031,12.291017374819225,1000,0.216031,0.012291017374819206,0.173,0.208,0.216,0.225,0.253
age_group_model,35_44,1000,142.255,10.69319032465612,1000,0.142255,0.010693190324656147,0.103,0.135,0.142,0.15,0.179
age_group_model,45_54,1000,122.491,10.310199766213035,1000,0.12249099999999999,0.010310199766213005,0.088,0.116,0.123,0.129,0.157
age_group_model,unknown,1000,72.567,7.876773105438205,1000,0.072567,0.007876773105438195,0.051,0.067,0.072,0.078,0.098
age_group_model,55_64,1000,54.986,6.677903742822167,1000,0.054986,0.006677903742822185,0.031,0.051,0.055,0.059,0.076
age_group_model,65_plus,1000,24.148,4.756124127555623,1000,0.024148,0.004756124127555617,0.008,0.021,0.024,0.027,0.039
city_size_model,rural_small,1000,620.147,9.460702716812099,1000,0.620147,0.009460702716812108,0.585,0.613,0.62,0.626,0.652
city_size_model,unknown,1000,379.735,9.452625409225055,1000,0.379735,0.009452625409225066,0.348,0.373,0.38,0.387,0.415
city_size_model,conflict,1000,0.118,0.3437938251251696,1000,1.1800000000000004e-4,3.4379382512516563e-4,0,0,0,0,0.002
country_model,DE,1000,167.19,11.386639344229508,1000,0.16719,0.01138663934422951,0.137,0.159,0.167,0.175,0.204
country_model,ES,1000,166.501,9.917981919995894,1000,0.166501,0.009917981919995884,0.134,0.16,0.1665,0.173,0.197
country_model,IT,1000,137.25,11.08884405438468,1000,0.13725,0.011088844054384678,0.106,0.13,0.137,0.144,0.172
country_model,GB,1000,97.89,9.229902008748043,1000,0.09789,0.009229902008748032,0.07,0.092,0.098,0.104,0.13
country_model,FR,1000,89.294,9.0340011720819,1000,0.089294,0.009034001172081908,0.065,0.083,0.089,0.09525,0.117
country_model,NL,1000,57.167,7.3720728739248385,1000,0.057167,0.007372072873924837,0.033,0.052,0.057,0.062,0.083
country_model,PL,1000,45.497,6.756451778902941,1000,0.045497,0.006756451778902948,0.029,0.041,0.045,0.05,0.07
country_model,BE,1000,36.007,5.830175121035558,1000,0.036007,0.005830175121035546,0.019,0.032,0.036,0.04,0.055
country_model,GR,1000,36.645,5.802813769857482,1000,0.036645000000000004,0.0058028137698575,0.017,0.033,0.036,0.04,0.058
country_model,HU,1000,18.762,4.268204959180565,1000,0.018762,0.00426820495918055,0.007,0.016,0.019,0.021,0.034
country_model,PT,1000,19.396,4.24089249677107,1000,0.019396,0.004240892496771065,0.006,0.017,0.019,0.022,0.037
country_model,RO,1000,17.02,3.9876686800060943,1000,0.01702,0.003987668680006073,0.006,0.014,0.017,0.02,0.028
country_model,Missing,1000,15.787,3.9279842234993816,1000,0.015787,0.003927984223499368,0.006,0.013,0.016,0.018,0.033
country_model,IE,1000,15.346,3.8633158308905,1000,0.015346,0.0038633158308905057,0.004,0.013,0.015,0.018,0.031
country_model,CZ,1000,14.201,3.717043908190424,1000,0.014201,0.003717043908190405,0.005,0.012,0.014,0.017,0.031
country_model,CH,1000,8.407,2.8781304061203663,1000,0.008407,0.0028781304061203665,0,0.006,0.008,0.01,0.021
country_model,FI,1000,8.675,2.9638082190248314,1000,0.008675,0.0029638082190248253,0.001,0.007,0.008,0.011,0.02
country_model,SE,1000,7.598,2.7180477890912376,1000,0.007598,0.0027180477890912263,0.001,0.006,0.008,0.009,0.017
country_model,AT,1000,6.848,2.629412445739499,1000,0.006848,0.002629412445739515,0,0.005,0.007,0.009,0.018
country_model,NO,1000,6.216,2.362398130062952,1000,0.006216,0.002362398130062955,0,0.005,0.006,0.008,0.014
