"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",6524906,81.561325
2,"Activist",4832362,60.404525
3,"Early.Adopter",4457471,55.7183875
4,"Homo.Economicus",2876841,35.9605125
5,"Fearful",2767925,34.5990625
6,"Influencer",2660217,33.2527125
7,"Uninterested",203162,2.539525
8,"Careful",0,0
