"","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"pattern_2",1,0,1,1,1,1,1,1
"pattern_3",0,0,0,0,0,0,0,0
"pattern_7",0,0.333333333333333,0,0,0,0,0,0
"pattern_4",0,0,0,0,0,0,0,0
"pattern_5",0,0.25,0,0,0,0,0,0
"pattern_9",0,0.25,0,0,0,0,0,0
"pattern_12",0,0.111111111111111,0,0,0,0,0,0
"pattern_15",0,0.125,0,0,0,0,0,0
"pattern_25",0,0,0,0,0,0,0,0
"pattern_22",0,0,0,0,0,0,0,0
"pattern_11",0,0,0,0,0,0,0,0
"pattern_18",0,0.2,0,0,0,0,0,0
"pattern_24",0,0.2,0,0,0,0,0,0
"pattern_1",0,0,0,0,0,0,0,0
"pattern_17",0,0,0,0,0,0,0,0
"pattern_20",0,1,0,0,0,0,0,0
"pattern_13",0,0.5,0,0,0,0,0,0
"pattern_19",0,0,0,0,0,0,0,0
"pattern_16",0,0.142857142857143,0,0,0,0,0,0
"pattern_6",0,0.166666666666667,0,0,0,0,0,0
"pattern_23",0,0.333333333333333,0,0,0,0,0,0
"pattern_27",0,0,0,0,0,0,0,0
"pattern_28",0,0.142857142857143,0,0,0,0,0,0
"pattern_34",0,0.5,0,0,0,0,0,0
"pattern_29",0,0,0,0,0,0,0,0
"pattern_14",0,0,0,0,0,0,0,0
"pattern_8",0,0.166666666666667,0,0,0,0,0,0
"pattern_31",0,0,0,0,0,0,0,0
"pattern_36",0,0.142857142857143,0,0,0,0,0,0
"pattern_35",0,0,0,0,0,0,0,0
"pattern_10",0,0.333333333333333,0,0,0,0,0,0
"pattern_38",0,0.2,0,0,0,0,0,0
"pattern_40",0,0,0,0,0,0,0,0
"pattern_30",0,0.166666666666667,0,0,0,0,0,0
"pattern_33",0,0.333333333333333,0,0,0,0,0,0
"pattern_32",0,0,0,0,0,0,0,0
"pattern_39",0,0.5,0,0,0,0,0,0
"pattern_21",0,0.333333333333333,0,0,0,0,0,0
"pattern_53",0,0.125,0,0,0,0,0,0
"pattern_48",0,0.25,0,0,0,0,0,0
"pattern_51",0,0.25,0,0,0,0,0,0
"pattern_44",0,0,0,0,0,0,0,0
"pattern_47",0,0,0,0,0,0,0,0
"pattern_57",0,0.25,0,0,0,0,0,0
"pattern_42",0,0.125,0,0,0,0,0,0
"pattern_63",0,0.166666666666667,0,0,0,0,0,0
"pattern_45",0,0.25,0,0,0,0,0,0
"pattern_49",0,0,0,0,0,0,0,0
"pattern_43",0,0,0,0,0,0,0,0
"pattern_52",0,0,0,0,0,0,0,0
"pattern_46",0,0,0,0,0,0,0,0
"pattern_65",0,0,0,0,0,0,0,0
"pattern_26",0,0.125,0,0,0,0,0,0
"pattern_56",0,0,0,0,0,0,0,0
"pattern_60",0,0.2,0,0,0,0,0,0
"pattern_50",0,0.2,0,0,0,0,0,0
"pattern_70",0,0.2,0,0,0,0,0,0
"pattern_71",0,0.25,0,0,0,0,0,0
"pattern_37",0,0,0,0,0,0,0,0
"pattern_81",0,0,0,0,0,0,0,0
"pattern_77",0,0,0,0,0,0,0,0
"pattern_78",0,0.166666666666667,0,0,0,0,0,0
"pattern_74",0,0,0,0,0,0,0,0
"pattern_69",0,0,0,0,0,0,0,0
"pattern_67",0,0,0,0,0,0,0,0
"pattern_75",0,0.142857142857143,0,0,0,0,0,0
"pattern_103",0,0.142857142857143,0,0,0,0,0,0
"pattern_88",0,0,0,0,0,0,0,0
"pattern_59",0,0.2,0,0,0,0,0,0
"pattern_62",0,0.5,0,0,0,0,0,0
"pattern_93",0,0.333333333333333,0,0,0,0,0,0
"pattern_54",0,0.25,0,0,0,0,0,0
"pattern_41",0,0,0,0,0,0,0,0
"pattern_55",0,0.25,0,0,0,0,0,0
"pattern_73",0,0.333333333333333,0,0,0,0,0,0
"pattern_76",0,0.2,0,0,0,0,0,0
"pattern_111",0,0,0,0,0,0,0,0
"pattern_80",0,0.142857142857143,0,0,0,0,0,0
"pattern_82",0,0,0,0,0,0,0,0
"pattern_91",0,0,0,0,0,0,0,0
"pattern_86",0,0.2,0,0,0,0,0,0
"pattern_61",0,0.166666666666667,0,0,0,0,0,0
"pattern_98",0,0,0,0,0,0,0,0
"pattern_106",0,0.166666666666667,0,0,0,0,0,0
"pattern_85",0,0,0,0,0,0,0,0
"pattern_66",0,0,0,0,0,0,0,0
"pattern_79",0,0,0,0,0,0,0,0
"pattern_89",0,0,0,0,0,0,0,0
"pattern_99",0,0.25,0,0,0,0,0,0
"pattern_100",0,0,0,0,0,0,0,0
"pattern_68",0,0,0,0,0,0,0,0
"pattern_72",0,0.333333333333333,0,0,0,0,0,0
"pattern_94",0,0,0,0,0,0,0,0
"pattern_110",0,0.166666666666667,0,0,0,0,0,0
"pattern_129",0,0,0,0,0,0,0,0
"pattern_96",0,0.2,0,0,0,0,0,0
"pattern_107",0,0.25,0,0,0,0,0,0
"pattern_116",0,0.2,0,0,0,0,0,0
"pattern_90",0,0,0,0,0,0,0,0
"pattern_123",0,0.25,0,0,0,0,0,0
"pattern_126",0,0,0,0,0,0,0,0
"pattern_133",0,0.25,0,0,0,0,0,0
"pattern_142",0,0.142857142857143,0,0,0,0,0,0
"pattern_108",0,0.166666666666667,0,0,0,0,0,0
