n_participants,boot_id,macro_archetype_5,adoption_stage,n_rows,percentage_within_macro
300,1,G5_Uninterested,Knowledge,53,63.095238095238095
300,1,G5_Uninterested,Considering,25,29.761904761904763
300,1,G5_Uninterested,Done,6,7.142857142857142
300,2,G1_Activist_Stubborn_Sentient,Knowledge,37,24.183006535947712
300,2,G1_Activist_Stubborn_Sentient,Considering,58,37.908496732026144
300,2,G1_Activist_Stubborn_Sentient,Done,58,37.908496732026144
300,2,G2_EarlyAdopter_Influencer,Knowledge,50,13.661202185792352
300,2,G2_EarlyAdopter_Influencer,Considering,112,30.601092896174865
300,2,G2_EarlyAdopter_Influencer,Done,204,55.73770491803278
300,2,G3_Fearful_Careful,Knowledge,90,42.857142857142854
300,2,G3_Fearful_Careful,Considering,89,42.38095238095238
300,2,G3_Fearful_Careful,Done,31,14.761904761904763
300,2,G4_HomoEconomicus,Knowledge,32,34.40860215053764
300,2,G4_HomoEconomicus,Considering,43,46.236559139784944
300,2,G4_HomoEconomicus,Done,18,19.35483870967742
300,2,G5_Uninterested,Knowledge,58,74.35897435897436
300,2,G5_Uninterested,Considering,14,17.94871794871795
300,2,G5_Uninterested,Done,6,7.6923076923076925
300,3,G1_Activist_Stubborn_Sentient,Knowledge,44,21.890547263681594
300,3,G1_Activist_Stubborn_Sentient,Considering,84,41.7910447761194
300,3,G1_Activist_Stubborn_Sentient,Done,73,36.318407960199
300,3,G2_EarlyAdopter_Influencer,Knowledge,37,12.585034013605442
300,3,G2_EarlyAdopter_Influencer,Considering,101,34.35374149659864
300,3,G2_EarlyAdopter_Influencer,Done,156,53.06122448979592
300,3,G3_Fearful_Careful,Knowledge,97,46.19047619047619
300,3,G3_Fearful_Careful,Considering,85,40.476190476190474
300,3,G3_Fearful_Careful,Done,28,13.333333333333334
300,3,G4_HomoEconomicus,Knowledge,27,28.125
300,3,G4_HomoEconomicus,Considering,47,48.95833333333333
300,3,G4_HomoEconomicus,Done,22,22.916666666666664
300,3,G5_Uninterested,Knowledge,65,65.65656565656566
