n_participants,boot_id,macro_archetype_5,n_boot_participants,percentage
200,1,G1_Activist_Stubborn_Sentient,39,19.5
200,1,G2_EarlyAdopter_Influencer,73,36.5
200,1,G3_Fearful_Careful,55,27.500000000000004
200,1,G4_HomoEconomicus,20,10
200,1,G5_Uninterested,13,6.5
200,2,G1_Activist_Stubborn_Sentient,43,21.5
200,2,G2_EarlyAdopter_Influencer,73,36.5
200,2,G3_Fearful_Careful,50,25
200,2,G4_HomoEconomicus,18,9
200,2,G5_Uninterested,16,8
200,3,G1_Activist_Stubborn_Sentient,34,17
200,3,G2_EarlyAdopter_Influencer,77,38.5
200,3,G3_Fearful_Careful,43,21.5
200,3,G4_HomoEconomicus,17,8.5
200,3,G5_Uninterested,29,14.499999999999998
200,4,G1_Activist_Stubborn_Sentient,36,18
200,4,G2_EarlyAdopter_Influencer,72,36
200,4,G3_Fearful_Careful,54,27
200,4,G4_HomoEconomicus,21,10.5
200,4,G5_Uninterested,17,8.5
200,5,G1_Activist_Stubborn_Sentient,37,18.5
200,5,G2_EarlyAdopter_Influencer,68,34
200,5,G3_Fearful_Careful,57,28.499999999999996
200,5,G4_HomoEconomicus,27,13.5
200,5,G5_Uninterested,11,5.5
300,1,G1_Activist_Stubborn_Sentient,61,20.333333333333332
300,1,G2_EarlyAdopter_Influencer,105,35
300,1,G3_Fearful_Careful,75,25
300,1,G4_HomoEconomicus,31,10.333333333333334
300,1,G5_Uninterested,28,9.333333333333334
300,2,G1_Activist_Stubborn_Sentient,51,17
300,2,G2_EarlyAdopter_Influencer,122,40.666666666666664
300,2,G3_Fearful_Careful,70,23.333333333333332
300,2,G4_HomoEconomicus,31,10.333333333333334
300,2,G5_Uninterested,26,8.666666666666668
300,3,G1_Activist_Stubborn_Sentient,67,22.333333333333332
300,3,G2_EarlyAdopter_Influencer,98,32.666666666666664
300,3,G3_Fearful_Careful,70,23.333333333333332
300,3,G4_HomoEconomicus,32,10.666666666666668
300,3,G5_Uninterested,33,11
300,4,G1_Activist_Stubborn_Sentient,56,18.666666666666668
300,4,G2_EarlyAdopter_Influencer,109,36.333333333333336
300,4,G3_Fearful_Careful,84,28.000000000000004
300,4,G4_HomoEconomicus,24,8
300,4,G5_Uninterested,27,9
300,5,G1_Activist_Stubborn_Sentient,67,22.333333333333332
300,5,G2_EarlyAdopter_Influencer,110,36.666666666666664
300,5,G3_Fearful_Careful,71,23.666666666666668
300,5,G4_HomoEconomicus,24,8
300,5,G5_Uninterested,28,9.333333333333334
600,1,G1_Activist_Stubborn_Sentient,123,20.5
600,1,G2_EarlyAdopter_Influencer,183,30.5
600,1,G3_Fearful_Careful,157,26.166666666666664
600,1,G4_HomoEconomicus,69,11.5
600,1,G5_Uninterested,68,11.333333333333332
600,2,G1_Activist_Stubborn_Sentient,136,22.666666666666664
600,2,G2_EarlyAdopter_Influencer,195,32.5
600,2,G3_Fearful_Careful,147,24.5
600,2,G4_HomoEconomicus,69,11.5
600,2,G5_Uninterested,53,8.833333333333334
600,3,G1_Activist_Stubborn_Sentient,136,22.666666666666664
600,3,G2_EarlyAdopter_Influencer,230,38.333333333333336
600,3,G3_Fearful_Careful,130,21.666666666666668
600,3,G4_HomoEconomicus,46,7.666666666666666
600,3,G5_Uninterested,58,9.666666666666666
600,4,G1_Activist_Stubborn_Sentient,131,21.833333333333332
600,4,G2_EarlyAdopter_Influencer,205,34.166666666666664
600,4,G3_Fearful_Careful,170,28.333333333333332
600,4,G4_HomoEconomicus,59,9.833333333333332
600,4,G5_Uninterested,35,5.833333333333333
600,5,G1_Activist_Stubborn_Sentient,136,22.666666666666664
600,5,G2_EarlyAdopter_Influencer,222,37
600,5,G3_Fearful_Careful,139,23.166666666666664
600,5,G4_HomoEconomicus,50,8.333333333333332
600,5,G5_Uninterested,53,8.833333333333334
1000,1,G1_Activist_Stubborn_Sentient,237,23.7
1000,1,G2_EarlyAdopter_Influencer,334,33.4
1000,1,G3_Fearful_Careful,251,25.1
1000,1,G4_HomoEconomicus,101,10.100000000000001
1000,1,G5_Uninterested,77,7.7
1000,2,G1_Activist_Stubborn_Sentient,219,21.9
1000,2,G2_EarlyAdopter_Influencer,366,36.6
1000,2,G3_Fearful_Careful,227,22.7
1000,2,G4_HomoEconomicus,106,10.6
1000,2,G5_Uninterested,82,8.200000000000001
1000,3,G1_Activist_Stubborn_Sentient,209,20.9
1000,3,G2_EarlyAdopter_Influencer,360,36
1000,3,G3_Fearful_Careful,245,24.5
1000,3,G4_HomoEconomicus,101,10.100000000000001
1000,3,G5_Uninterested,85,8.5
1000,4,G1_Activist_Stubborn_Sentient,221,22.1
1000,4,G2_EarlyAdopter_Influencer,366,36.6
1000,4,G3_Fearful_Careful,253,25.3
1000,4,G4_HomoEconomicus,75,7.5
1000,4,G5_Uninterested,85,8.5
1000,5,G1_Activist_Stubborn_Sentient,204,20.4
1000,5,G2_EarlyAdopter_Influencer,344,34.4
1000,5,G3_Fearful_Careful,253,25.3
1000,5,G4_HomoEconomicus,107,10.7
1000,5,G5_Uninterested,92,9.2
2000,1,G1_Activist_Stubborn_Sentient,393,19.650000000000002
2000,1,G2_EarlyAdopter_Influencer,731,36.55
2000,1,G3_Fearful_Careful,520,26
2000,1,G4_HomoEconomicus,187,9.35
2000,1,G5_Uninterested,169,8.450000000000001
2000,2,G1_Activist_Stubborn_Sentient,426,21.3
2000,2,G2_EarlyAdopter_Influencer,703,35.15
2000,2,G3_Fearful_Careful,501,25.05
2000,2,G4_HomoEconomicus,185,9.25
2000,2,G5_Uninterested,185,9.25
2000,3,G1_Activist_Stubborn_Sentient,403,20.150000000000002
2000,3,G2_EarlyAdopter_Influencer,738,36.9
2000,3,G3_Fearful_Careful,495,24.75
2000,3,G4_HomoEconomicus,191,9.55
2000,3,G5_Uninterested,173,8.649999999999999
2000,4,G1_Activist_Stubborn_Sentient,428,21.4
2000,4,G2_EarlyAdopter_Influencer,706,35.3
2000,4,G3_Fearful_Careful,471,23.549999999999997
2000,4,G4_HomoEconomicus,215,10.75
2000,4,G5_Uninterested,180,9
2000,5,G1_Activist_Stubborn_Sentient,420,21
2000,5,G2_EarlyAdopter_Influencer,731,36.55
2000,5,G3_Fearful_Careful,486,24.3
2000,5,G4_HomoEconomicus,200,10
2000,5,G5_Uninterested,163,8.15
