"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",5252854,65.660675
2,"Early.Adopter",0,0
3,"Fearful",0,0
4,"Homo.Economicus",0,0
5,"Influencer",0,0
6,"Stubborn",0,0
7,"Uninterested",0,0
8,"X8",0,0
