"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,0,0,0
3,1,189,0.023625
4,14,1608,0.201
5,160,144647,18.080875
6,307,153242,19.15525
7,1834,474286,59.28575
8,2126,480135,60.016875
9,7086,666187,83.273375
10,7339,670510,83.81375
11,13541,784240,98.03
12,13679,784578,98.07225
13,16739,797735,99.716875
14,16818,797896,99.737
15,17657,799138,99.89225
16,17718,799292,99.9115
17,17951,799666,99.95825
18,17990,799782,99.97275
19,18038,799975,99.996875
20,18041,799992,99.999
