"cluster","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful","Activist"
"cluster_1",0,0,0,0,0,0,0,0
"cluster_2",40,33.3333333333333,40,40,66.6666666666667,16.6666666666667,60,50
"cluster_3",44.4444444444444,55.5555555555556,44.4444444444444,44.4444444444444,22.2222222222222,44.4444444444444,55.5555555555556,33.3333333333333
"cluster_4",75,33.3333333333333,16.6666666666667,16.6666666666667,25,40,14.2857142857143,20
