comparison_region,subsample,dataset_source,mean_n,sd_n,min_n,max_n
EUROPE,DIEGO,diego,249.936,11.36992432600935,212,285
EUROPE,RENOVISOR,rv,611.641,9.484939803872402,583,646
EUROPE,WHY_EUROPE,why,138.423,10.385756348717935,102,171
LATAM,WHY_LATAM,why,608,0,608,608
