bootstrap_id,n_draws,n_in_matrix,n_missing,prop_in_matrix
1,1608,1608,0,1
2,1608,1608,0,1
3,1608,1608,0,1
4,1608,1608,0,1
5,1608,1608,0,1
6,1608,1608,0,1
7,1608,1608,0,1
8,1608,1608,0,1
9,1608,1608,0,1
10,1608,1608,0,1
11,1608,1608,0,1
12,1608,1608,0,1
13,1608,1608,0,1
14,1608,1608,0,1
15,1608,1608,0,1
16,1608,1608,0,1
17,1608,1608,0,1
18,1608,1608,0,1
19,1608,1608,0,1
20,1608,1608,0,1
21,1608,1608,0,1
22,1608,1608,0,1
23,1608,1608,0,1
24,1608,1608,0,1
25,1608,1608,0,1
26,1608,1608,0,1
27,1608,1608,0,1
28,1608,1608,0,1
29,1608,1608,0,1
30,1608,1608,0,1
31,1608,1608,0,1
32,1608,1608,0,1
33,1608,1608,0,1
34,1608,1608,0,1
35,1608,1608,0,1
36,1608,1608,0,1
37,1608,1608,0,1
38,1608,1608,0,1
39,1608,1608,0,1
40,1608,1608,0,1
41,1608,1608,0,1
42,1608,1608,0,1
43,1608,1608,0,1
44,1608,1608,0,1
45,1608,1608,0,1
46,1608,1608,0,1
47,1608,1608,0,1
48,1608,1608,0,1
49,1608,1608,0,1
50,1608,1608,0,1
51,1608,1608,0,1
52,1608,1608,0,1
53,1608,1608,0,1
54,1608,1608,0,1
55,1608,1608,0,1
56,1608,1608,0,1
57,1608,1608,0,1
58,1608,1608,0,1
59,1608,1608,0,1
60,1608,1608,0,1
61,1608,1608,0,1
62,1608,1608,0,1
63,1608,1608,0,1
64,1608,1608,0,1
65,1608,1608,0,1
66,1608,1608,0,1
67,1608,1608,0,1
68,1608,1608,0,1
69,1608,1608,0,1
70,1608,1608,0,1
71,1608,1608,0,1
72,1608,1608,0,1
73,1608,1608,0,1
74,1608,1608,0,1
75,1608,1608,0,1
76,1608,1608,0,1
77,1608,1608,0,1
78,1608,1608,0,1
79,1608,1608,0,1
80,1608,1608,0,1
81,1608,1608,0,1
82,1608,1608,0,1
83,1608,1608,0,1
84,1608,1608,0,1
85,1608,1608,0,1
86,1608,1608,0,1
87,1608,1608,0,1
88,1608,1608,0,1
89,1608,1608,0,1
90,1608,1608,0,1
91,1608,1608,0,1
92,1608,1608,0,1
93,1608,1608,0,1
94,1608,1608,0,1
95,1608,1608,0,1
96,1608,1608,0,1
97,1608,1608,0,1
98,1608,1608,0,1
99,1608,1608,0,1
100,1608,1608,0,1
101,1608,1608,0,1
102,1608,1608,0,1
103,1608,1608,0,1
104,1608,1608,0,1
105,1608,1608,0,1
106,1608,1608,0,1
107,1608,1608,0,1
108,1608,1608,0,1
109,1608,1608,0,1
110,1608,1608,0,1
111,1608,1608,0,1
112,1608,1608,0,1
113,1608,1608,0,1
114,1608,1608,0,1
115,1608,1608,0,1
116,1608,1608,0,1
117,1608,1608,0,1
118,1608,1608,0,1
119,1608,1608,0,1
120,1608,1608,0,1
121,1608,1608,0,1
122,1608,1608,0,1
123,1608,1608,0,1
124,1608,1608,0,1
125,1608,1608,0,1
126,1608,1608,0,1
127,1608,1608,0,1
128,1608,1608,0,1
129,1608,1608,0,1
130,1608,1608,0,1
131,1608,1608,0,1
132,1608,1608,0,1
133,1608,1608,0,1
134,1608,1608,0,1
135,1608,1608,0,1
136,1608,1608,0,1
137,1608,1608,0,1
138,1608,1608,0,1
139,1608,1608,0,1
140,1608,1608,0,1
141,1608,1608,0,1
142,1608,1608,0,1
143,1608,1608,0,1
144,1608,1608,0,1
145,1608,1608,0,1
146,1608,1608,0,1
147,1608,1608,0,1
148,1608,1608,0,1
149,1608,1608,0,1
150,1608,1608,0,1
151,1608,1608,0,1
152,1608,1608,0,1
153,1608,1608,0,1
154,1608,1608,0,1
155,1608,1608,0,1
156,1608,1608,0,1
157,1608,1608,0,1
158,1608,1608,0,1
159,1608,1608,0,1
160,1608,1608,0,1
161,1608,1608,0,1
162,1608,1608,0,1
163,1608,1608,0,1
164,1608,1608,0,1
165,1608,1608,0,1
166,1608,1608,0,1
167,1608,1608,0,1
168,1608,1608,0,1
169,1608,1608,0,1
170,1608,1608,0,1
171,1608,1608,0,1
172,1608,1608,0,1
173,1608,1608,0,1
174,1608,1608,0,1
175,1608,1608,0,1
176,1608,1608,0,1
177,1608,1608,0,1
178,1608,1608,0,1
179,1608,1608,0,1
180,1608,1608,0,1
181,1608,1608,0,1
182,1608,1608,0,1
183,1608,1608,0,1
184,1608,1608,0,1
185,1608,1608,0,1
186,1608,1608,0,1
187,1608,1608,0,1
188,1608,1608,0,1
189,1608,1608,0,1
190,1608,1608,0,1
191,1608,1608,0,1
192,1608,1608,0,1
193,1608,1608,0,1
194,1608,1608,0,1
195,1608,1608,0,1
196,1608,1608,0,1
197,1608,1608,0,1
198,1608,1608,0,1
199,1608,1608,0,1
200,1608,1608,0,1
201,1608,1608,0,1
202,1608,1608,0,1
203,1608,1608,0,1
204,1608,1608,0,1
205,1608,1608,0,1
206,1608,1608,0,1
207,1608,1608,0,1
208,1608,1608,0,1
209,1608,1608,0,1
210,1608,1608,0,1
211,1608,1608,0,1
212,1608,1608,0,1
213,1608,1608,0,1
214,1608,1608,0,1
215,1608,1608,0,1
216,1608,1608,0,1
217,1608,1608,0,1
218,1608,1608,0,1
219,1608,1608,0,1
220,1608,1608,0,1
221,1608,1608,0,1
222,1608,1608,0,1
223,1608,1608,0,1
224,1608,1608,0,1
225,1608,1608,0,1
226,1608,1608,0,1
227,1608,1608,0,1
228,1608,1608,0,1
229,1608,1608,0,1
230,1608,1608,0,1
231,1608,1608,0,1
232,1608,1608,0,1
233,1608,1608,0,1
234,1608,1608,0,1
235,1608,1608,0,1
236,1608,1608,0,1
237,1608,1608,0,1
238,1608,1608,0,1
239,1608,1608,0,1
240,1608,1608,0,1
241,1608,1608,0,1
242,1608,1608,0,1
243,1608,1608,0,1
244,1608,1608,0,1
245,1608,1608,0,1
246,1608,1608,0,1
247,1608,1608,0,1
248,1608,1608,0,1
249,1608,1608,0,1
250,1608,1608,0,1
251,1608,1608,0,1
252,1608,1608,0,1
253,1608,1608,0,1
254,1608,1608,0,1
255,1608,1608,0,1
256,1608,1608,0,1
257,1608,1608,0,1
258,1608,1608,0,1
259,1608,1608,0,1
260,1608,1608,0,1
261,1608,1608,0,1
262,1608,1608,0,1
263,1608,1608,0,1
264,1608,1608,0,1
265,1608,1608,0,1
266,1608,1608,0,1
267,1608,1608,0,1
268,1608,1608,0,1
269,1608,1608,0,1
270,1608,1608,0,1
271,1608,1608,0,1
272,1608,1608,0,1
273,1608,1608,0,1
274,1608,1608,0,1
275,1608,1608,0,1
276,1608,1608,0,1
277,1608,1608,0,1
278,1608,1608,0,1
279,1608,1608,0,1
280,1608,1608,0,1
281,1608,1608,0,1
282,1608,1608,0,1
283,1608,1608,0,1
284,1608,1608,0,1
285,1608,1608,0,1
286,1608,1608,0,1
287,1608,1608,0,1
288,1608,1608,0,1
289,1608,1608,0,1
290,1608,1608,0,1
291,1608,1608,0,1
292,1608,1608,0,1
293,1608,1608,0,1
294,1608,1608,0,1
295,1608,1608,0,1
296,1608,1608,0,1
297,1608,1608,0,1
298,1608,1608,0,1
299,1608,1608,0,1
300,1608,1608,0,1
301,1608,1608,0,1
302,1608,1608,0,1
303,1608,1608,0,1
304,1608,1608,0,1
305,1608,1608,0,1
306,1608,1608,0,1
307,1608,1608,0,1
308,1608,1608,0,1
309,1608,1608,0,1
310,1608,1608,0,1
311,1608,1608,0,1
312,1608,1608,0,1
313,1608,1608,0,1
314,1608,1608,0,1
315,1608,1608,0,1
316,1608,1608,0,1
317,1608,1608,0,1
318,1608,1608,0,1
319,1608,1608,0,1
320,1608,1608,0,1
321,1608,1608,0,1
322,1608,1608,0,1
323,1608,1608,0,1
324,1608,1608,0,1
325,1608,1608,0,1
326,1608,1608,0,1
327,1608,1608,0,1
328,1608,1608,0,1
329,1608,1608,0,1
330,1608,1608,0,1
331,1608,1608,0,1
332,1608,1608,0,1
333,1608,1608,0,1
334,1608,1608,0,1
335,1608,1608,0,1
336,1608,1608,0,1
337,1608,1608,0,1
338,1608,1608,0,1
339,1608,1608,0,1
340,1608,1608,0,1
341,1608,1608,0,1
342,1608,1608,0,1
343,1608,1608,0,1
344,1608,1608,0,1
345,1608,1608,0,1
346,1608,1608,0,1
347,1608,1608,0,1
348,1608,1608,0,1
349,1608,1608,0,1
350,1608,1608,0,1
351,1608,1608,0,1
352,1608,1608,0,1
353,1608,1608,0,1
354,1608,1608,0,1
355,1608,1608,0,1
356,1608,1608,0,1
357,1608,1608,0,1
358,1608,1608,0,1
359,1608,1608,0,1
360,1608,1608,0,1
361,1608,1608,0,1
362,1608,1608,0,1
363,1608,1608,0,1
364,1608,1608,0,1
365,1608,1608,0,1
366,1608,1608,0,1
367,1608,1608,0,1
368,1608,1608,0,1
369,1608,1608,0,1
370,1608,1608,0,1
371,1608,1608,0,1
372,1608,1608,0,1
373,1608,1608,0,1
374,1608,1608,0,1
375,1608,1608,0,1
376,1608,1608,0,1
377,1608,1608,0,1
378,1608,1608,0,1
379,1608,1608,0,1
380,1608,1608,0,1
381,1608,1608,0,1
382,1608,1608,0,1
383,1608,1608,0,1
384,1608,1608,0,1
385,1608,1608,0,1
386,1608,1608,0,1
387,1608,1608,0,1
388,1608,1608,0,1
389,1608,1608,0,1
390,1608,1608,0,1
391,1608,1608,0,1
392,1608,1608,0,1
393,1608,1608,0,1
394,1608,1608,0,1
395,1608,1608,0,1
396,1608,1608,0,1
397,1608,1608,0,1
398,1608,1608,0,1
399,1608,1608,0,1
400,1608,1608,0,1
401,1608,1608,0,1
402,1608,1608,0,1
403,1608,1608,0,1
404,1608,1608,0,1
405,1608,1608,0,1
406,1608,1608,0,1
407,1608,1608,0,1
408,1608,1608,0,1
409,1608,1608,0,1
410,1608,1608,0,1
411,1608,1608,0,1
412,1608,1608,0,1
413,1608,1608,0,1
414,1608,1608,0,1
