parameter,value
n_boot,1000
eu_bootstrap_file,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/04_2b_propensity_bootstrap_eu_pfe_esn_renew_greens_merged_clustering_usable/bootstrap_samples_index.csv
latam_bootstrap_file,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/04_2e_latam_income_bootstrap/bootstrap_samples_index_latam_income.csv
clustering_metadata_file,/Users/mariaperales/Desktop/MASTER/recommendation-engine/TFM/paper1_cluster/data/processed/03_component_quality/matrix_32det_for_clustering.csv
combination_mode,stack_europe_and_latam_preserving_region_bootstrap_sizes
europe_draws_per_bootstrap,1000
latam_draws_per_bootstrap,608
complete_draws_per_bootstrap,1608
europe_share_complete,0.621890547263682
latam_share_complete,0.378109452736318
