bootstrap_id,comparison_region,subsample,n_draws,n_unique_people,unique_share
1,EUROPE,DIEGO,256,237,0.92578125
1,EUROPE,RENOVISOR,612,398,0.6503267973856209
1,EUROPE,WHY_EUROPE,132,120,0.9090909090909091
1,LATAM,WHY_LATAM,608,263,0.43256578947368424
2,EUROPE,DIEGO,257,242,0.9416342412451362
2,EUROPE,RENOVISOR,612,380,0.6209150326797386
2,EUROPE,WHY_EUROPE,131,122,0.9312977099236641
2,LATAM,WHY_LATAM,608,261,0.4292763157894737
3,EUROPE,DIEGO,250,240,0.96
3,EUROPE,RENOVISOR,600,380,0.6333333333333333
3,EUROPE,WHY_EUROPE,150,142,0.9466666666666667
3,LATAM,WHY_LATAM,608,272,0.4473684210526316
4,EUROPE,DIEGO,250,229,0.916
4,EUROPE,RENOVISOR,603,380,0.6301824212271974
4,EUROPE,WHY_EUROPE,147,141,0.9591836734693877
4,LATAM,WHY_LATAM,608,255,0.4194078947368421
5,EUROPE,DIEGO,250,230,0.92
5,EUROPE,RENOVISOR,613,373,0.6084828711256117
5,EUROPE,WHY_EUROPE,137,126,0.9197080291970803
5,LATAM,WHY_LATAM,608,265,0.43585526315789475
6,EUROPE,DIEGO,259,246,0.9498069498069498
6,EUROPE,RENOVISOR,598,396,0.6622073578595318
6,EUROPE,WHY_EUROPE,143,126,0.8811188811188811
6,LATAM,WHY_LATAM,608,268,0.4407894736842105
7,EUROPE,DIEGO,254,229,0.9015748031496063
7,EUROPE,RENOVISOR,607,394,0.6490939044481054
7,EUROPE,WHY_EUROPE,139,131,0.9424460431654677
7,LATAM,WHY_LATAM,608,279,0.4588815789473684
8,EUROPE,DIEGO,247,227,0.9190283400809717
8,EUROPE,RENOVISOR,615,395,0.6422764227642277
8,EUROPE,WHY_EUROPE,138,131,0.9492753623188406
8,LATAM,WHY_LATAM,608,261,0.4292763157894737
9,EUROPE,DIEGO,251,233,0.9282868525896414
9,EUROPE,RENOVISOR,623,407,0.6532905296950241
9,EUROPE,WHY_EUROPE,126,117,0.9285714285714286
9,LATAM,WHY_LATAM,608,272,0.4473684210526316
10,EUROPE,DIEGO,280,243,0.8678571428571429
