bootstrap_id,comparison_region,subsample,dataset_source,n_draws
1,EUROPE,DIEGO,diego,256
1,EUROPE,RENOVISOR,rv,612
1,EUROPE,WHY_EUROPE,why,132
1,LATAM,WHY_LATAM,why,608
2,EUROPE,DIEGO,diego,257
2,EUROPE,RENOVISOR,rv,612
2,EUROPE,WHY_EUROPE,why,131
2,LATAM,WHY_LATAM,why,608
3,EUROPE,DIEGO,diego,250
3,EUROPE,RENOVISOR,rv,600
3,EUROPE,WHY_EUROPE,why,150
3,LATAM,WHY_LATAM,why,608
4,EUROPE,DIEGO,diego,250
4,EUROPE,RENOVISOR,rv,603
4,EUROPE,WHY_EUROPE,why,147
4,LATAM,WHY_LATAM,why,608
5,EUROPE,DIEGO,diego,250
5,EUROPE,RENOVISOR,rv,613
5,EUROPE,WHY_EUROPE,why,137
5,LATAM,WHY_LATAM,why,608
6,EUROPE,DIEGO,diego,259
6,EUROPE,RENOVISOR,rv,598
6,EUROPE,WHY_EUROPE,why,143
6,LATAM,WHY_LATAM,why,608
7,EUROPE,DIEGO,diego,254
7,EUROPE,RENOVISOR,rv,607
7,EUROPE,WHY_EUROPE,why,139
7,LATAM,WHY_LATAM,why,608
8,EUROPE,DIEGO,diego,247
8,EUROPE,RENOVISOR,rv,615
8,EUROPE,WHY_EUROPE,why,138
8,LATAM,WHY_LATAM,why,608
9,EUROPE,DIEGO,diego,251
9,EUROPE,RENOVISOR,rv,623
9,EUROPE,WHY_EUROPE,why,126
9,LATAM,WHY_LATAM,why,608
10,EUROPE,DIEGO,diego,280
10,EUROPE,RENOVISOR,rv,602
10,EUROPE,WHY_EUROPE,why,118
10,LATAM,WHY_LATAM,why,608
11,EUROPE,DIEGO,diego,227
11,EUROPE,RENOVISOR,rv,617
11,EUROPE,WHY_EUROPE,why,156
11,LATAM,WHY_LATAM,why,608
12,EUROPE,DIEGO,diego,237
12,EUROPE,RENOVISOR,rv,624
12,EUROPE,WHY_EUROPE,why,139
12,LATAM,WHY_LATAM,why,608
13,EUROPE,DIEGO,diego,232
13,EUROPE,RENOVISOR,rv,616
13,EUROPE,WHY_EUROPE,why,152
13,LATAM,WHY_LATAM,why,608
14,EUROPE,DIEGO,diego,260
14,EUROPE,RENOVISOR,rv,608
14,EUROPE,WHY_EUROPE,why,132
14,LATAM,WHY_LATAM,why,608
15,EUROPE,DIEGO,diego,262
15,EUROPE,RENOVISOR,rv,621
15,EUROPE,WHY_EUROPE,why,117
15,LATAM,WHY_LATAM,why,608
16,EUROPE,DIEGO,diego,250
16,EUROPE,RENOVISOR,rv,605
16,EUROPE,WHY_EUROPE,why,145
16,LATAM,WHY_LATAM,why,608
17,EUROPE,DIEGO,diego,258
17,EUROPE,RENOVISOR,rv,626
17,EUROPE,WHY_EUROPE,why,116
17,LATAM,WHY_LATAM,why,608
18,EUROPE,DIEGO,diego,247
18,EUROPE,RENOVISOR,rv,618
18,EUROPE,WHY_EUROPE,why,135
18,LATAM,WHY_LATAM,why,608
19,EUROPE,DIEGO,diego,261
19,EUROPE,RENOVISOR,rv,607
19,EUROPE,WHY_EUROPE,why,132
19,LATAM,WHY_LATAM,why,608
20,EUROPE,DIEGO,diego,251
20,EUROPE,RENOVISOR,rv,619
20,EUROPE,WHY_EUROPE,why,130
20,LATAM,WHY_LATAM,why,608
21,EUROPE,DIEGO,diego,233
21,EUROPE,RENOVISOR,rv,611
21,EUROPE,WHY_EUROPE,why,156
21,LATAM,WHY_LATAM,why,608
22,EUROPE,DIEGO,diego,260
22,EUROPE,RENOVISOR,rv,611
22,EUROPE,WHY_EUROPE,why,129
22,LATAM,WHY_LATAM,why,608
23,EUROPE,DIEGO,diego,258
23,EUROPE,RENOVISOR,rv,594
23,EUROPE,WHY_EUROPE,why,148
23,LATAM,WHY_LATAM,why,608
24,EUROPE,DIEGO,diego,229
24,EUROPE,RENOVISOR,rv,616
24,EUROPE,WHY_EUROPE,why,155
24,LATAM,WHY_LATAM,why,608
25,EUROPE,DIEGO,diego,251
25,EUROPE,RENOVISOR,rv,608
25,EUROPE,WHY_EUROPE,why,141
25,LATAM,WHY_LATAM,why,608
26,EUROPE,DIEGO,diego,246
26,EUROPE,RENOVISOR,rv,609
26,EUROPE,WHY_EUROPE,why,145
26,LATAM,WHY_LATAM,why,608
27,EUROPE,DIEGO,diego,268
27,EUROPE,RENOVISOR,rv,619
27,EUROPE,WHY_EUROPE,why,113
27,LATAM,WHY_LATAM,why,608
28,EUROPE,DIEGO,diego,261
28,EUROPE,RENOVISOR,rv,597
28,EUROPE,WHY_EUROPE,why,142
28,LATAM,WHY_LATAM,why,608
29,EUROPE,DIEGO,diego,249
29,EUROPE,RENOVISOR,rv,609
29,EUROPE,WHY_EUROPE,why,142
29,LATAM,WHY_LATAM,why,608
30,EUROPE,DIEGO,diego,256
30,EUROPE,RENOVISOR,rv,602
30,EUROPE,WHY_EUROPE,why,142
30,LATAM,WHY_LATAM,why,608
31,EUROPE,DIEGO,diego,244
31,EUROPE,RENOVISOR,rv,617
31,EUROPE,WHY_EUROPE,why,139
31,LATAM,WHY_LATAM,why,608
32,EUROPE,DIEGO,diego,247
32,EUROPE,RENOVISOR,rv,622
32,EUROPE,WHY_EUROPE,why,131
32,LATAM,WHY_LATAM,why,608
33,EUROPE,DIEGO,diego,251
33,EUROPE,RENOVISOR,rv,610
33,EUROPE,WHY_EUROPE,why,139
33,LATAM,WHY_LATAM,why,608
34,EUROPE,DIEGO,diego,260
34,EUROPE,RENOVISOR,rv,607
34,EUROPE,WHY_EUROPE,why,133
34,LATAM,WHY_LATAM,why,608
35,EUROPE,DIEGO,diego,247
35,EUROPE,RENOVISOR,rv,597
35,EUROPE,WHY_EUROPE,why,156
35,LATAM,WHY_LATAM,why,608
36,EUROPE,DIEGO,diego,248
36,EUROPE,RENOVISOR,rv,617
36,EUROPE,WHY_EUROPE,why,135
36,LATAM,WHY_LATAM,why,608
