"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Fearful",0,"",0
"cluster_2","Stubborn",66.6666666666667,"COMPETENCE; AUTONOMY; PHYSICALNESS",3
"cluster_3","Early.Adopter",75,"COMPETENCE; STIMULATION; POPULARITY",3
"cluster_4","Uninterested",33.3333333333333,"PHYSICALNESS; POPULARITY; MEANING",3
"cluster_5","Homo.Economicus",40,"FINANCIAL; AUTONOMY; STIMULATION",3
