"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Fearful",612928,7.6616
2,"Stubborn",307220,3.84025
3,"Careful",296918,3.711475
4,"Homo.Economicus",211057,2.6382125
5,"Cluster8",72946,0.911825
6,"Early.Adopter",43241,0.5405125
7,"Uninterested",7276,0.09095
8,"Influencer",307,0.0038375
