"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,2,9,0.001125
3,37,651,0.081375
4,141,2681,0.335125
5,669,23330,2.91625
6,1391,36201,4.525125
7,3862,121888,15.236
8,5953,151968,18.996
9,10724,271354,33.91925
10,13413,319776,39.972
11,18915,452873,56.609125
12,20582,533411,66.676375
13,25889,640532,80.0665
14,26602,777704,97.213
15,30166,795204,99.4005
16,30417,796906,99.61325
17,31746,799358,99.91975
18,31827,799477,99.934625
19,32108,799944,99.993
20,32120,799959,99.994875
