consensus_factor,id,determinants,mean_selection_frequency,mean_abs_loading
1,EFA1,det_09_safety; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_27_fun,0.67625,0.3168171922544285
2,EFA2,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,0.81,0.41022980359651556
3,EFA3,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_13_technical_fit; det_21_rights_and_duties; det_25_agreement; det_30_authority,0.705,0.3074108331405917
4,EFA4,det_04_added_value; det_06_climate_protection; det_08_trust; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_32_own_significance,0.7725,0.39163261942767014
5,EFA5,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction; det_17_adherence,0.79875,0.39950263458382146
6,EFA6,det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_32_own_significance,0.61625,0.28739474134980475
