efa_factor,expert_profile,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
EFA1,Activist,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
EFA2,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EFA3,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_13_technical_fit
EFA4,Careful,8,12,3,37.5,25,17.647058823529413,det_06_climate_protection; det_08_trust; det_14_environmental_concerns
EFA5,Stubborn,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
EFA6,Activist,8,6,4,50,66.66666666666667,40,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
