consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_09_safety,91,0.91,0.3901964032014575
1,det_20_coziness,90,0.9,0.624692478348357
1,det_19_wellbeing,88,0.88,0.5166337991810176
1,det_27_fun,76,0.76,0.2568651615824844
1,det_18_autonomy,75,0.75,0.23216419573838754
1,det_15_self_satisfaction,48,0.48,0.18654432422169745
1,det_13_technical_fit,40,0.4,0.16776655869662643
1,det_17_adherence,33,0.33,0.15967461706540031
2,det_24_socialising,92,0.92,0.45795404165883574
2,det_28_recognition,90,0.9,0.5276664753478115
2,det_31_approval,90,0.9,0.49737804338250924
2,det_27_fun,83,0.83,0.3401581963618949
2,det_30_authority,82,0.82,0.42226470008221784
2,det_22_peer_pressure,78,0.78,0.42729622761865127
2,det_29_trends,72,0.72,0.3215488755777418
2,det_26_novelty,61,0.61,0.2875718687424622
3,det_21_rights_and_duties,94,0.94,0.5118448440220803
3,det_07_legal,93,0.93,0.560257735134017
3,det_08_trust,86,0.86,0.30624355106243173
3,det_25_agreement,81,0.81,0.25985056316309996
3,det_09_safety,76,0.76,0.25487667332056657
3,det_30_authority,60,0.6,0.22725573153484238
3,det_13_technical_fit,45,0.45,0.1738427056249944
3,det_03_risk_profile,29,0.29,0.165114861262701
4,det_06_climate_protection,100,1,0.7797400749936766
4,det_14_environmental_concerns,100,1,0.7643981763057944
4,det_23_support,100,1,0.4378254381670818
4,det_04_added_value,89,0.89,0.28236436669262155
4,det_32_own_significance,86,0.86,0.27605006745980476
4,det_25_agreement,52,0.52,0.1992407985699444
4,det_08_trust,46,0.46,0.19198941537327618
4,det_21_rights_and_duties,45,0.45,0.2014526178591613
5,det_05_frugality,98,0.98,0.5447317255172618
5,det_03_risk_profile,98,0.98,0.49430220099778893
5,det_10_cost_efficiency,97,0.97,0.6496387372193698
5,det_01_profits,93,0.93,0.4421997164321621
5,det_02_credit_score,83,0.83,0.3075939334884598
5,det_17_adherence,75,0.75,0.3136187690365335
5,det_11_knowledge,67,0.67,0.25810364196093355
5,det_15_self_satisfaction,28,0.28,0.18583235201806217
6,det_15_self_satisfaction,78,0.78,0.3411031226344144
6,det_16_commitment,72,0.72,0.35514863794757984
6,det_11_knowledge,68,0.68,0.2899688488663953
6,det_13_technical_fit,66,0.66,0.28994634583533746
6,det_18_autonomy,63,0.63,0.2721368346496445
6,det_12_own_competence,62,0.62,0.2921379032054131
6,det_32_own_significance,47,0.47,0.23905772250757096
6,det_17_adherence,37,0.37,0.21965851515208243
