"cluster","best_match","pct_match","active_determinants","n_active_dets"
"cluster_1","Fearful",60,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; ENVIRONMENTAL CONCERNS; SELF SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RIGHTS AND DUTIES",15
"cluster_2","Homo.Economicus",33.3333333333333,"PROFITS; CREDIT SCORE; RISK PROFILE; LEGAL; SAFETY; COST EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; SELF SATISFACTION; AUTARKY; WELLBEING; COZINESS; FUN; AUTHORITY; APPROVAL",15
"cluster_3","Careful",35,"PROFITS; RISK PROFILE; CLIMATE PROTECTION; TRUST; KNOWLEDGE; OWN COMPETENCE; COMMITMENT; ADHERENCE; AUTARKY; COZINESS; SOCIALISING; AGREEMENT; NOVELTY; AUTHORITY; APPROVAL",15
