bootstrap_id,mean_similarity_to_others
55,65.00420875420875
23,64.85690235690235
79,64.73063973063974
76,64.56228956228956
15,64.47811447811448
98,64.39393939393939
62,64.12037037037037
26,63.9520202020202
3,63.48905723905724
58,63.38383838383838
36,63.32070707070707
91,63.25757575757576
75,63.13131313131313
70,62.984006734006734
72,62.96296296296296
99,62.94191919191919
2,62.89983164983165
19,62.85774410774411
24,62.83670033670034
63,62.83670033670034
21,62.81565656565657
32,62.71043771043771
27,62.647306397306394
13,62.62626262626262
93,62.62626262626262
16,62.60521885521886
61,62.47895622895623
74,62.39478114478114
86,62.352693602693606
60,62.331649831649834
43,62.226430976430976
66,62.226430976430976
89,62.226430976430976
90,62.03703703703704
8,62.015993265993266
5,61.97390572390572
6,61.97390572390572
68,61.97390572390572
94,61.97390572390572
83,61.91077441077441
28,61.72138047138047
17,61.67929292929293
38,61.59511784511785
51,61.553030303030305
95,61.553030303030305
52,61.53198653198653
20,61.46885521885522
18,61.4057239057239
39,61.38468013468013
54,61.36363636363637
81,61.23737373737374
82,61.216329966329965
71,61.15319865319865
33,61.13215488215488
49,61.02693602693603
87,61.005892255892256
10,60.92171717171717
53,60.85858585858586
65,60.85858585858586
1,60.79545454545455
46,60.73232323232323
97,60.71127946127946
48,60.69023569023569
45,60.66919191919192
42,60.52188552188552
34,60.50084175084175
88,60.35353535353536
100,60.2483164983165
85,60.22727272727273
69,60.12205387205387
4,60.101010101010104
7,59.974747474747474
56,59.974747474747474
73,59.91161616161616
9,59.89057239057239
40,59.82744107744108
29,59.785353535353536
78,59.764309764309765
35,59.68013468013468
57,59.68013468013468
41,59.61700336700337
84,59.5959595959596
14,59.57491582491583
59,59.57491582491583
12,59.427609427609426
30,59.217171717171716
22,58.94360269360269
80,58.88047138047138
25,58.7962962962963
11,58.333333333333336
96,58.312289562289564
77,58.101851851851855
31,57.996632996633
67,57.428451178451176
92,57.15488215488215
44,57.112794612794616
37,56.734006734006734
64,56.56565656565657
47,56.50252525252525
50,56.29208754208754
