consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_26_novelty,76,0.76,0.2436982650629425
1,det_27_fun,75,0.75,0.2654273765611597
1,det_32_own_significance,72,0.72,0.25001887718685767
1,det_25_agreement,67,0.67,0.21070356460213668
1,det_02_credit_score,66,0.66,0.19320265219845376
1,det_21_rights_and_duties,49,0.49,0.1769678847581973
1,det_18_autonomy,37,0.37,0.1327436562102792
1,det_01_profits,36,0.36,0.13141516454042113
2,det_11_knowledge,98,0.98,0.3673772732902664
2,det_16_commitment,96,0.96,0.38121579293246594
2,det_15_self_satisfaction,92,0.92,0.3492303606901111
2,det_13_technical_fit,71,0.71,0.24588729911265447
2,det_17_adherence,70,0.7,0.25544855414861295
2,det_12_own_competence,64,0.64,0.22232674571237607
2,det_10_cost_efficiency,53,0.53,0.20568279228168085
2,det_21_rights_and_duties,48,0.48,0.18541278258719257
3,det_06_climate_protection,100,1,0.6926719838300817
3,det_14_environmental_concerns,100,1,0.6261364321054388
3,det_23_support,100,1,0.3043883907619054
3,det_04_added_value,94,0.94,0.22445117983609073
3,det_17_adherence,63,0.63,0.11493880098551056
3,det_32_own_significance,59,0.59,0.11529504973487413
3,det_07_legal,42,0.42,0.09286705622864654
3,det_08_trust,31,0.31,0.07977875745713517
4,det_09_safety,85,0.85,0.35091076920517694
4,det_20_coziness,82,0.82,0.39230345059787186
4,det_19_wellbeing,82,0.82,0.3794877230050514
4,det_07_legal,59,0.59,0.2186039761558674
4,det_04_added_value,46,0.46,0.17917008458745523
4,det_01_profits,46,0.46,0.17006514037860396
4,det_13_technical_fit,44,0.44,0.145228446947644
4,det_08_trust,38,0.38,0.14995563323985373
5,det_01_profits,71,0.71,0.23862151729671244
5,det_05_frugality,70,0.7,0.25801719014987357
5,det_03_risk_profile,68,0.68,0.2376289526229203
5,det_10_cost_efficiency,67,0.67,0.27101874771021656
5,det_02_credit_score,43,0.43,0.1812068251847676
5,det_20_coziness,40,0.4,0.17810244622565052
5,det_27_fun,35,0.35,0.14449617283317504
5,det_19_wellbeing,31,0.31,0.15795619497987046
6,det_24_socialising,100,1,0.5145645055041066
6,det_31_approval,99,0.99,0.5577361792189418
6,det_28_recognition,99,0.99,0.496989458414181
6,det_30_authority,99,0.99,0.4402827055468476
6,det_22_peer_pressure,99,0.99,0.3702184959574965
6,det_29_trends,99,0.99,0.35865437782288395
6,det_27_fun,63,0.63,0.19985380317948878
6,det_23_support,36,0.36,0.1553433742664609
