"D","assigned_pct","unassigned_pct"
0,0.0125655766028964,99.9874344233971
1,0.226180378852135,99.7738196211479
2,1.30681996670122,98.6931800332988
3,3.60317909088053,96.3968209091195
4,11.0231520748908,88.9768479251092
5,17.1457292746521,82.8542707253479
6,32.5982471020639,67.4017528979361
7,42.1575095027173,57.8424904972827
8,64.4865391260641,35.5134608739359
9,82.9013916376088,17.0986083623912
10,84.3464329469418,15.6535670530581
11,85.050105236704,14.949894763296
12,97.1004931988817,2.89950680111834
13,97.5151572267772,2.48484277322276
14,99.1926617032639,0.807338296736091
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
