analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
WHY_EUROPE,1795,WHY_EUROPE,EUROPE,566,why__602443c63a9e6b0f8cec3729,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,602443c63a9e6b0f8cec3729,602443c63a9e6b0f8cec3729,NA,IT,IT,southern_europe,18_24,female,employed,usable_complete,TRUE,TRUE,32,0.5750738331489491,0.5009576009043262,0.3843811610200613,0.8712974270878112,1.7666616065488472,0.8411951205093242,0.4637630106466526,0.6511512782986736,1.1870308678507802
WHY_EUROPE,1796,WHY_EUROPE,EUROPE,567,why__6026944b7f3b5d347dd3c6f7,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6026944b7f3b5d347dd3c6f7,6026944b7f3b5d347dd3c6f7,NA,HU,HU,eastern_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,1.499976793282089,1.0507378812940384,2.0758969662643683,2.06650016035552,1.3772262162963553,1.05567776370054,1.1607058982376404,1.164723967896349,0.9100641943931751
WHY_EUROPE,1797,WHY_EUROPE,EUROPE,568,why__6026a3507e666237c315a0b0,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6026a3507e666237c315a0b0,6026a3507e666237c315a0b0,NA,IT,IT,southern_europe,25_34,female,employed,usable_complete,TRUE,TRUE,32,0.5553963219360134,0.727937318970134,0.7580021174284927,0.30218474578799104,0.3230498435225614,1.019685862738576,0.9695394693640342,0.6508752449789549,1.5461163244888927
WHY_EUROPE,1798,WHY_EUROPE,EUROPE,569,why__6026b041b99e3739fa65fd5e,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6026b041b99e3739fa65fd5e,6026b041b99e3739fa65fd5e,NA,IT,IT,southern_europe,25_34,male,unemployed,usable_complete,TRUE,TRUE,32,1.4985737548275146,1.302310096604325,1.325848502155035,1.2285627460355528,0.8086550917561002,0.8897247840082467,0.8530814291426763,1.3713990314074753,1.8449488422885543
WHY_EUROPE,1799,WHY_EUROPE,EUROPE,570,why__6027a9d3f33f0302534823c3,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6027a9d3f33f0302534823c3,6027a9d3f33f0302534823c3,NA,PL,PL,eastern_europe,18_24,female,employed,usable_complete,TRUE,TRUE,32,0.2699781065682405,1.1461938857814267,0.5545134472276976,0.6346379113416756,0.5371498741970018,1.169794398437495,0.7367021473509863,0.24162464781894688,0.6676754513085318
WHY_EUROPE,1800,WHY_EUROPE,EUROPE,571,why__6029a2edacfd7c924562296f,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6029a2edacfd7c924562296f,6029a2edacfd7c924562296f,NA,DE,DE,western_europe,25_34,male,employed,usable_partial,TRUE,TRUE,31,0.6565509624486334,0.7477102897548508,0.5052792459015255,0.9645506495965425,0.37023468394928905,1.3949584328229605,0.9609207945616447,1.7769913157507962,1.0457112375555826
WHY_EUROPE,1801,WHY_EUROPE,EUROPE,572,why__602bbc6dcc465135b89fa867,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,602bbc6dcc465135b89fa867,602bbc6dcc465135b89fa867,NA,PL,PL,eastern_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.6841669565648039,0.8549348278539028,0.8039905942360178,0.6312880790477093,0.48549863922143277,0.3231470043118004,0.7610234213530903,0.0760400216844788,0.24979532935485962
WHY_EUROPE,1802,WHY_EUROPE,EUROPE,573,why__602d8b7b986cfd23e2bc5f04,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,602d8b7b986cfd23e2bc5f04,602d8b7b986cfd23e2bc5f04,NA,FR,FR,western_europe,35_44,male,employed,usable_partial,TRUE,TRUE,30,1.9438844154191408,0.8003299223402858,0.4133631871145709,1.3739677296486013,0.5566613492607636,0.9006343051553292,0.7544568078657837,0.884604647070166,1.3468946459557851
WHY_EUROPE,1803,WHY_EUROPE,EUROPE,574,why__60317fc2c8f6320ecde4bcb3,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,60317fc2c8f6320ecde4bcb3,60317fc2c8f6320ecde4bcb3,NA,IT,IT,southern_europe,25_34,female,unemployed,usable_complete,TRUE,TRUE,32,0.4498869003159722,0.804771033491533,0.8573400832571851,0.9459094538707427,0.9104657440990381,1.2305520744020173,1.5302001044109264,0.4853004690958063,1.0202372935115722
WHY_EUROPE,1804,WHY_EUROPE,EUROPE,575,why__6033b2f0a9c5a7096d83b60b,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6033b2f0a9c5a7096d83b60b,6033b2f0a9c5a7096d83b60b,NA,IT,IT,southern_europe,25_34,female,employed,usable_partial,TRUE,TRUE,31,0.6174274751734873,0.5442515507736613,0.8353864323936391,0.623388742215972,0.6812164331387389,0.5390612650144977,0.5156140631495243,0.5493622081649344,0.015716467173252535
WHY_EUROPE,1806,WHY_EUROPE,EUROPE,577,why__6033f278f94c661790b6e3a1,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,6033f278f94c661790b6e3a1,6033f278f94c661790b6e3a1,NA,ES,ES,southern_europe,18_24,male,other,usable_complete,TRUE,TRUE,32,1.0596275484104045,1.428063066350669,1.2023901165258224,1.5430820308156428,0.4802113658853553,0.49488898678071636,0.6536248695382032,0.3749177036270042,0.8541850438107341
WHY_EUROPE,1807,WHY_EUROPE,EUROPE,578,why__60378fc4f3788e8bb7539e42,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,60378fc4f3788e8bb7539e42,60378fc4f3788e8bb7539e42,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.2958106446425913,0.2730734477196251,0.9071337340969181,0.6224842203495401,0.810704590138567,0.9922195795708663,0.42944791654943054,0.6154166940911273,0.6103380272031991
WHY_EUROPE,1808,WHY_EUROPE,EUROPE,579,why__60394fe628b8f044fa78fd2f,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,60394fe628b8f044fa78fd2f,60394fe628b8f044fa78fd2f,NA,PL,PL,eastern_europe,18_24,female,other,usable_complete,TRUE,TRUE,32,0.7581354837443168,0.703150160348098,0.3510245100913325,0.813146642740633,0.17066307522800034,1.2935632289273369,0.5432063985281499,0.4693346962776663,0.5100346029678101
WHY_EUROPE,1809,WHY_EUROPE,EUROPE,580,why__603c1168208b758f82345284,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,603c1168208b758f82345284,603c1168208b758f82345284,NA,DE,DE,western_europe,25_34,male,unknown,usable_complete,TRUE,TRUE,32,0.5416238494790991,0.5608015023696723,0.5677320560538874,0.9006229478838833,0.23515089409399204,1.0068972414319335,0.744142890859864,0.7357377094682914,0.9524168307211196
WHY_EUROPE,1810,WHY_EUROPE,EUROPE,581,why__603d0e0e5b0386b034e93bf5,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,603d0e0e5b0386b034e93bf5,603d0e0e5b0386b034e93bf5,NA,IT,IT,southern_europe,25_34,female,other,usable_complete,TRUE,TRUE,32,0.948654763113462,0.8536795820341023,0.45861125161692656,0.47683827116624994,0.4110529927220691,0.696206457669549,0.9350925245510238,0.43613466728305855,0.47809293405242914
WHY_EUROPE,1811,WHY_EUROPE,EUROPE,582,why__603d4a05d1aca6baf104de21,why,Investment_Arquetypes_2022,Content_Export_Investment_Arquetypes_2022_full-latin-final.csv,603d4a05d1aca6baf104de21,603d4a05d1aca6baf104de21,NA,BE,BE,western_europe,18_24,male,other,usable_complete,TRUE,TRUE,32,1.4076241025993603,1.1627210745197487,1.0431703003258965,0.6737600491501542,1.1385315969705287,0.7332902133671889,0.4923870672468203,0.7577376155578945,0.6755781180997724
