"determinante","n_clusters"
"PROFITS",6
"CREDIT.SCORE",7
"RISK.PROFILE",8
"ADDED.VALUE",1
"FRUGALITY",2
"CLIMATE.PROTECTION",1
"LEGAL",5
"TRUST",6
"SAFETY",5
"COST.EFFICIENCY",8
"KNOWLEDGE",8
"OWN.COMPETENCE",8
"TECHNICAL.FIT",5
"ENVIRONMENTAL.CONCERNS",4
"SELF.SATISFACTION",8
"COMMITMENT",6
"ADHERENCE",7
"AUTARKY",5
"WELLBEING",6
"COZINESS",3
"RIGHTS.AND.DUTIES",4
"PEER.PRESSURE",0
"SUPPORT",0
"SOCIALISING",0
"AGREEMENT",0
"NOVELTY",2
"FUN",1
"RECOGNITION",0
"TRENDS",0
"AUTHORITY",1
"OWN.SIGNIFICANCE",0
"APPROVAL",2
