"cluster","n_archetypes","total_frequency","freq_pct_total","freq_pct_rest"
1,18648,799699,99.962375,99.962375
2,78,208,0.026,69.1029900332226
3,25,86,0.01075,92.4731182795699
4,5,7,0.000875,100
