"determinante","n_clusters"
"PROFITS",2
"CREDIT.SCORE",2
"RISK.PROFILE",2
"ADDED.VALUE",1
"FRUGALITY",1
"CLIMATE.PROTECTION",2
"LEGAL",1
"TRUST",2
"SAFETY",1
"COST.EFFICIENCY",2
"KNOWLEDGE",2
"OWN.COMPETENCE",2
"TECHNICAL.FIT",1
"ENVIRONMENTAL.CONCERNS",2
"SELF.SATISFACTION",2
"COMMITMENT",3
"ADHERENCE",2
"AUTARKY",2
"WELLBEING",2
"COZINESS",2
"RIGHTS.AND.DUTIES",1
"PEER.PRESSURE",1
"SUPPORT",0
"SOCIALISING",2
"AGREEMENT",2
"NOVELTY",1
"FUN",1
"RECOGNITION",1
"TRENDS",2
"AUTHORITY",1
"OWN.SIGNIFICANCE",1
"APPROVAL",2
