analysis_sample,matrix_name,n_factors,d_det,determinant,n_selected,n_valid_bootstraps,prop_bootstraps_selected
WHY_LATAM,matrix_32_ext_0_1,2,4,det_28_recognition,98,100,0.98
WHY_LATAM,matrix_32_ext_0_1,2,4,det_24_socialising,95,100,0.95
WHY_LATAM,matrix_32_ext_0_1,2,4,det_30_authority,63,100,0.63
WHY_LATAM,matrix_32_ext_0_1,2,4,det_31_approval,62,100,0.62
WHY_LATAM,matrix_32_ext_0_1,2,4,det_15_self_satisfaction,55,100,0.55
WHY_LATAM,matrix_32_ext_0_1,2,4,det_19_wellbeing,19,100,0.19
WHY_LATAM,matrix_32_ext_0_1,2,4,det_09_safety,4,100,0.04
WHY_LATAM,matrix_32_ext_0_1,2,4,det_12_own_competence,2,100,0.02
WHY_LATAM,matrix_32_ext_0_1,2,4,det_17_adherence,1,100,0.01
WHY_LATAM,matrix_32_ext_0_1,2,4,det_22_peer_pressure,1,100,0.01
WHY_LATAM,matrix_32_ext_0_1,2,5,det_28_recognition,100,100,1
WHY_LATAM,matrix_32_ext_0_1,2,5,det_24_socialising,98,100,0.98
WHY_LATAM,matrix_32_ext_0_1,2,5,det_30_authority,83,100,0.83
WHY_LATAM,matrix_32_ext_0_1,2,5,det_31_approval,79,100,0.79
WHY_LATAM,matrix_32_ext_0_1,2,5,det_15_self_satisfaction,76,100,0.76
WHY_LATAM,matrix_32_ext_0_1,2,5,det_19_wellbeing,39,100,0.39
WHY_LATAM,matrix_32_ext_0_1,2,5,det_09_safety,9,100,0.09
WHY_LATAM,matrix_32_ext_0_1,2,5,det_12_own_competence,4,100,0.04
WHY_LATAM,matrix_32_ext_0_1,2,5,det_16_commitment,3,100,0.03
WHY_LATAM,matrix_32_ext_0_1,2,5,det_17_adherence,2,100,0.02
WHY_LATAM,matrix_32_ext_0_1,2,5,det_18_autonomy,2,100,0.02
WHY_LATAM,matrix_32_ext_0_1,2,5,det_20_coziness,2,100,0.02
WHY_LATAM,matrix_32_ext_0_1,2,5,det_22_peer_pressure,2,100,0.02
WHY_LATAM,matrix_32_ext_0_1,2,5,det_29_trends,1,100,0.01
WHY_LATAM,matrix_32_ext_0_1,2,6,det_28_recognition,100,100,1
WHY_LATAM,matrix_32_ext_0_1,2,6,det_24_socialising,99,100,0.99
WHY_LATAM,matrix_32_ext_0_1,2,6,det_30_authority,94,100,0.94
WHY_LATAM,matrix_32_ext_0_1,2,6,det_31_approval,90,100,0.9
WHY_LATAM,matrix_32_ext_0_1,2,6,det_15_self_satisfaction,86,100,0.86
WHY_LATAM,matrix_32_ext_0_1,2,6,det_19_wellbeing,58,100,0.58
WHY_LATAM,matrix_32_ext_0_1,2,6,det_09_safety,26,100,0.26
WHY_LATAM,matrix_32_ext_0_1,2,6,det_12_own_competence,12,100,0.12
WHY_LATAM,matrix_32_ext_0_1,2,6,det_20_coziness,11,100,0.11
WHY_LATAM,matrix_32_ext_0_1,2,6,det_22_peer_pressure,6,100,0.06
WHY_LATAM,matrix_32_ext_0_1,2,6,det_16_commitment,5,100,0.05
WHY_LATAM,matrix_32_ext_0_1,2,6,det_17_adherence,5,100,0.05
WHY_LATAM,matrix_32_ext_0_1,2,6,det_29_trends,4,100,0.04
WHY_LATAM,matrix_32_ext_0_1,2,6,det_18_autonomy,2,100,0.02
WHY_LATAM,matrix_32_ext_0_1,2,6,det_01_profits,1,100,0.01
WHY_LATAM,matrix_32_ext_0_1,2,6,det_03_risk_profile,1,100,0.01
WHY_LATAM,matrix_32_ext_0_1,2,7,det_24_socialising,100,100,1
WHY_LATAM,matrix_32_ext_0_1,2,7,det_28_recognition,100,100,1
WHY_LATAM,matrix_32_ext_0_1,2,7,det_30_authority,97,100,0.97
WHY_LATAM,matrix_32_ext_0_1,2,7,det_31_approval,94,100,0.94
WHY_LATAM,matrix_32_ext_0_1,2,7,det_15_self_satisfaction,93,100,0.93
WHY_LATAM,matrix_32_ext_0_1,2,7,det_19_wellbeing,72,100,0.72
WHY_LATAM,matrix_32_ext_0_1,2,7,det_09_safety,45,100,0.45
WHY_LATAM,matrix_32_ext_0_1,2,7,det_12_own_competence,17,100,0.17
WHY_LATAM,matrix_32_ext_0_1,2,7,det_17_adherence,17,100,0.17
WHY_LATAM,matrix_32_ext_0_1,2,7,det_20_coziness,17,100,0.17
WHY_LATAM,matrix_32_ext_0_1,2,7,det_16_commitment,12,100,0.12
WHY_LATAM,matrix_32_ext_0_1,2,7,det_22_peer_pressure,12,100,0.12
WHY_LATAM,matrix_32_ext_0_1,2,7,det_18_autonomy,8,100,0.08
WHY_LATAM,matrix_32_ext_0_1,2,7,det_29_trends,7,100,0.07
WHY_LATAM,matrix_32_ext_0_1,2,7,det_01_profits,5,100,0.05
WHY_LATAM,matrix_32_ext_0_1,2,7,det_10_cost_efficiency,2,100,0.02
