analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
WHY_LATAM,matrix_32_ext_0_1,3,det_15_self_satisfaction,0.568920073316342,0.10451603458593499,0.6009627771099726,10,1,1,0.95
WHY_LATAM,matrix_32_ext_0_1,3,det_20_coziness,0.5664568042119199,0.08344026936058101,0.5706298221769681,10.6,1,1,0.96
WHY_LATAM,matrix_32_ext_0_1,3,det_09_safety,0.5620755635540663,0.07952845432352937,0.5760151217612063,10.54,1,1,0.95
WHY_LATAM,matrix_32_ext_0_1,3,det_29_trends,0.5493699626467315,0.0436491485410871,0.5492360554879,11,1,1,1
WHY_LATAM,matrix_32_ext_0_1,3,det_22_peer_pressure,0.5358450079713607,0.044330785567133775,0.5356628127389995,11.97,1,1,1
WHY_LATAM,matrix_32_ext_0_1,3,det_16_commitment,0.5040521657162873,0.0881705413545603,0.5097709418480623,14.23,1,1,0.85
WHY_LATAM,matrix_32_ext_0_1,3,det_10_cost_efficiency,0.4826581847493841,0.0996886437006923,0.503542951443113,16.01,1,0.97,0.75
WHY_LATAM,matrix_32_ext_0_1,3,det_12_own_competence,0.481275334928417,0.0873514485523468,0.4710785287327909,15.92,1,1,0.83
WHY_LATAM,matrix_32_ext_0_1,3,det_01_profits,0.48039410268800686,0.08121942180843798,0.4913346153471634,16.16,1,0.99,0.82
WHY_LATAM,matrix_32_ext_0_1,3,det_18_autonomy,0.46055746494118777,0.08173541577501282,0.4676271971747822,17.32,1,0.98,0.77
WHY_LATAM,matrix_32_ext_0_1,3,det_14_environmental_concerns,0.4486057533716356,0.11954284677170313,0.44535367358643707,18.44,0.99,0.9,0.58
WHY_LATAM,matrix_32_ext_0_1,3,det_04_added_value,0.4437040674016426,0.08011824933236447,0.4433862347913845,18.67,1,0.97,0.71
WHY_LATAM,matrix_32_ext_0_1,3,det_03_risk_profile,0.44119210633533534,0.07254772892954828,0.4524037382757725,18.84,1,0.99,0.7
WHY_LATAM,matrix_32_ext_0_1,3,det_11_knowledge,0.4394738102115096,0.08022155285049457,0.4351128215932337,19.15,1,0.99,0.69
WHY_LATAM,matrix_32_ext_0_1,3,det_17_adherence,0.4289710974841376,0.05946775729181042,0.4341329161582643,19.66,1,1,0.67
WHY_LATAM,matrix_32_ext_0_1,3,det_13_technical_fit,0.41891905520093214,0.07660576645017751,0.4241524962693974,20.69,1,0.91,0.61
WHY_LATAM,matrix_32_ext_0_1,3,det_21_rights_and_duties,0.3992820816130263,0.12699450951054744,0.39387300680867887,21.08,0.98,0.69,0.49
WHY_LATAM,matrix_32_ext_0_1,3,det_08_trust,0.3908525265645806,0.08452773128261275,0.38353607778484106,22.36,1,0.87,0.43
WHY_LATAM,matrix_32_ext_0_1,3,det_07_legal,0.38342421181091413,0.09393931265120072,0.37841353385682036,22.36,1,0.76,0.45
WHY_LATAM,matrix_32_ext_0_1,3,det_02_credit_score,0.3790957197256435,0.0668335901125928,0.3820949784919785,23.21,1,0.9,0.36
WHY_LATAM,matrix_32_ext_0_1,3,det_27_fun,0.3633704023042134,0.04461507059722766,0.3603641786660874,24.39,1,0.96,0.21
WHY_LATAM,matrix_32_ext_0_1,3,det_05_frugality,0.35506393074074,0.0855192089917009,0.34587209083710635,24.48,1,0.73,0.25
WHY_LATAM,matrix_32_ext_0_1,3,det_23_support,0.3500989480756132,0.07922749193251998,0.3486262290630562,25.23,1,0.68,0.24
WHY_LATAM,matrix_32_ext_0_1,3,det_25_agreement,0.31160217735984613,0.0426909795264796,0.3062635883301913,28.15,1,0.55,0.04
WHY_LATAM,matrix_32_ext_0_1,3,det_32_own_significance,0.30105928459815273,0.053730412910926825,0.29450380256260555,28.36,0.99,0.43,0.05
WHY_LATAM,matrix_32_ext_0_1,3,det_26_novelty,0.2999848548106455,0.07966813841483086,0.2855831164912125,28,0.96,0.44,0.11
WHY_LATAM,matrix_32_ext_0_1,4,det_24_socialising,0.717453871039046,0.03194662037186681,0.7187749897402058,2.48,1,1,1
WHY_LATAM,matrix_32_ext_0_1,4,det_28_recognition,0.7119682679534135,0.03415924036876314,0.7109434248599387,2.69,1,1,1
WHY_LATAM,matrix_32_ext_0_1,4,det_06_climate_protection,0.6959309627646572,0.06820471931651358,0.7072577926231565,3.71,1,1,1
WHY_LATAM,matrix_32_ext_0_1,4,det_31_approval,0.6690139718807036,0.04305454592972543,0.6749551581959843,4.84,1,1,1
WHY_LATAM,matrix_32_ext_0_1,4,det_19_wellbeing,0.6600017512676724,0.07644547411967074,0.6751985090359434,5.33,1,1,0.99
WHY_LATAM,matrix_32_ext_0_1,4,det_30_authority,0.6464087686212789,0.03497754972909609,0.64501828457122,5.81,1,1,1
WHY_LATAM,matrix_32_ext_0_1,4,det_20_coziness,0.6041127569275315,0.07514888467824736,0.6133967071625972,8.41,1,1,0.98
WHY_LATAM,matrix_32_ext_0_1,4,det_29_trends,0.5575346639514708,0.04148266904727278,0.5551546857405811,10.59,1,1,1
WHY_LATAM,matrix_32_ext_0_1,4,det_22_peer_pressure,0.5337595594930132,0.045683078785633456,0.5312110527505973,12.1,1,1,1
WHY_LATAM,matrix_32_ext_0_1,4,det_14_environmental_concerns,0.5198005574329908,0.1142840008936535,0.5208075783920809,13.54,1,0.97,0.82
WHY_LATAM,matrix_32_ext_0_1,4,det_16_commitment,0.5183703980751502,0.08665438850043458,0.5285679033107751,13.03,1,0.99,0.89
WHY_LATAM,matrix_32_ext_0_1,4,det_15_self_satisfaction,0.5128111725528507,0.09627235736679578,0.5073567728223629,13.33,1,1,0.87
WHY_LATAM,matrix_32_ext_0_1,4,det_09_safety,0.49911928762776714,0.09389308402106918,0.5040715513911691,14.49,1,1,0.83
WHY_LATAM,matrix_32_ext_0_1,4,det_12_own_competence,0.4846830296379037,0.07987595813434356,0.4963451365092686,15.34,1,0.99,0.84
WHY_LATAM,matrix_32_ext_0_1,4,det_04_added_value,0.4703875759189729,0.0712634916073046,0.46746214326198215,16.58,1,1,0.85
WHY_LATAM,matrix_32_ext_0_1,4,det_10_cost_efficiency,0.45762456460393575,0.10718872153133129,0.45581404717464724,17.39,1,0.93,0.65
WHY_LATAM,matrix_32_ext_0_1,4,det_11_knowledge,0.44587188350318324,0.08112915218016795,0.4435691212547458,18.24,1,0.97,0.73
WHY_LATAM,matrix_32_ext_0_1,4,det_01_profits,0.43790871610421384,0.09068550210462846,0.43154725299671937,18.42,1,0.93,0.64
WHY_LATAM,matrix_32_ext_0_1,4,det_03_risk_profile,0.4341307082959893,0.08354169891178304,0.4339559387798184,19.29,1,0.95,0.65
WHY_LATAM,matrix_32_ext_0_1,4,det_08_trust,0.4197845558438571,0.08724981362750212,0.4150981059548456,19.83,1,0.92,0.53
WHY_LATAM,matrix_32_ext_0_1,4,det_21_rights_and_duties,0.4176060031735307,0.08367757062093642,0.4135032291489289,19.79,1,0.9,0.56
WHY_LATAM,matrix_32_ext_0_1,4,det_13_technical_fit,0.41566947825108935,0.08804675899994588,0.41125593053099296,20.45,1,0.91,0.54
WHY_LATAM,matrix_32_ext_0_1,4,det_18_autonomy,0.40075362162777356,0.08806950905674259,0.38629727792731877,21.28,1,0.88,0.45
