analysis_sample,matrix_name,n_factors,status,n_runs
WHY_LATAM,matrix_32_ext_0_1,2,ok,100
WHY_LATAM,matrix_32_ext_0_1,3,ok,100
WHY_LATAM,matrix_32_ext_0_1,4,ok,100
WHY_LATAM,matrix_32_ext_0_1,5,ok,100
WHY_LATAM,matrix_32_ext_0_1,6,ok,100
WHY_LATAM,matrix_32_ext_0_1,7,ok,99
WHY_LATAM,matrix_32_ext_0_1,7,ok_with_warning,1
WHY_LATAM,matrix_32_ext_0_1,8,ok,97
WHY_LATAM,matrix_32_ext_0_1,8,ok_with_warning,3
WHY_LATAM,matrix_32_pos_0_1,2,ok,100
WHY_LATAM,matrix_32_pos_0_1,3,ok,100
WHY_LATAM,matrix_32_pos_0_1,4,ok,100
WHY_LATAM,matrix_32_pos_0_1,5,ok,100
WHY_LATAM,matrix_32_pos_0_1,6,ok,100
WHY_LATAM,matrix_32_pos_0_1,7,ok,100
WHY_LATAM,matrix_32_pos_0_1,8,ok,100
WHY_LATAM,matrix_32_raw_0_1,2,ok,100
WHY_LATAM,matrix_32_raw_0_1,3,ok,100
WHY_LATAM,matrix_32_raw_0_1,4,ok,100
WHY_LATAM,matrix_32_raw_0_1,5,ok,100
WHY_LATAM,matrix_32_raw_0_1,6,ok,100
WHY_LATAM,matrix_32_raw_0_1,7,ok,100
WHY_LATAM,matrix_32_raw_0_1,8,ok,100
WHY_LATAM,matrix_32_z_abs,2,ok,100
WHY_LATAM,matrix_32_z_abs,3,ok,100
WHY_LATAM,matrix_32_z_abs,4,ok,100
WHY_LATAM,matrix_32_z_abs,5,ok,100
WHY_LATAM,matrix_32_z_abs,6,ok,100
WHY_LATAM,matrix_32_z_abs,7,ok,99
WHY_LATAM,matrix_32_z_abs,7,ok_with_warning,1
WHY_LATAM,matrix_32_z_abs,8,ok,98
WHY_LATAM,matrix_32_z_abs,8,ok_with_warning,2
