"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,1,0.000125
3,2,5,0.000625
4,57,5657,0.707125
5,126,6977,0.872125
6,975,74511,9.313875
7,1558,82247,10.280875
8,5381,193089,24.136125
9,6775,206244,25.7805
10,13366,271720,33.965
11,15020,289329,36.166125
12,20549,349838,43.72975
13,22002,501895,62.736875
14,25148,564235,70.529375
15,26561,616009,77.001125
16,28603,693403,86.675375
17,29732,747955,93.494375
18,30953,780476,97.5595
19,31469,794219,99.277375
20,31939,798684,99.8355
