"archetype","best_pattern","best_pattern_idx","best_dist","best_pattern_freq"
"Early Adopter","pattern_496",496,4,9
"Uninterested","pattern_28705",28705,2,1
"Homo Economicus","pattern_4828",4828,4,2
"Fearful","pattern_25310",25310,2,1
"Stubborn","pattern_10178",10178,3,1
"Influencer","pattern_7389",7389,4,3
"Careful","pattern_979",979,2,278
