"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,1,278,0.03475
3,22,8483,1.060375
4,96,10650,1.33125
5,521,48993,6.124125
6,940,54717,6.839625
7,3069,131247,16.405875
8,4180,140217,17.527125
9,9248,226015,28.251875
10,10635,239759,29.969875
11,17080,298023,37.252875
12,18456,327021,40.877625
13,22945,396224,49.528
14,24439,552261,69.032625
15,27133,603886,75.48575
16,28515,656417,82.052125
17,30177,743294,92.91175
18,31021,785638,98.20475
19,31731,797457,99.682125
20,31956,799596,99.9495
