"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Stubborn",7766205,97.0775625
2,"Activist",6204423,77.5552875
3,"Early.Adopter",4743418,59.292725
4,"Homo.Economicus",3088982,38.612275
5,"Fearful",2797074,34.963425
6,"Influencer",2698625,33.7328125
7,"Uninterested",253894,3.173675
8,"Careful",0,0
