"D","assigned_pct","unassigned_pct"
0,0.042840312734283,99.9571596872657
1,0.224911641854986,99.775088358145
2,4.66423904894506,95.3357609510549
3,6.19042519010389,93.8095748098961
4,42.5136553496841,57.4863446503159
5,44.2433329763307,55.7566670236693
6,72.6678804755275,27.3321195244725
7,72.0092106672379,27.9907893327621
8,86.1143836350005,13.8856163649995
9,88.0903930598693,11.9096069401307
10,97.2957052586484,2.70429474135161
11,97.6170076041555,2.38299239584449
12,99.6197922244832,0.380207775516761
13,99.85005890543,0.14994109456999
14,100,0
15,100,0
16,100,0
17,100,0
18,100,0
19,100,0
20,100,0
