"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,26,24308,3.0385
5,33,24391,3.048875
6,646,247638,30.95475
7,709,250352,31.294
8,3931,560122,70.01525
9,4124,568213,71.026625
10,10314,727286,90.91075
11,10644,732153,91.519125
12,15305,775233,96.904125
13,15587,779790,97.47375
14,17278,797468,99.6835
15,17410,798063,99.757875
16,17870,799646,99.95575
17,17885,799708,99.9635
18,18019,799943,99.992875
19,18021,799945,99.993125
20,18044,799990,99.99875
