"archetype","best_pattern","best_pattern_idx","best_dist","best_pattern_freq"
"Fearful","pattern_5",5,4,3491
"Careful","pattern_1615",1615,3,189
"Influencer","pattern_3704",3704,7,42
"Homo Economicus","pattern_2387",2387,4,2
"Early Adopter","pattern_12292",12292,5,1
"Uninterested","pattern_14757",14757,5,1
"Stubborn","pattern_4544",4544,4,1
