"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Careful",768014,9.600175
2,"Fearful",6442,0.080525
3,"Stubborn",355,0.0044375
4,"Homo Economicus",73,0.0009125
5,"Early Adopter",0,0
6,"Influencer",0,0
7,"Uninterested",0,0
