bootstrap_id,n_draws,expected,ok
433,608,608,TRUE
434,608,608,TRUE
435,608,608,TRUE
436,608,608,TRUE
437,608,608,TRUE
438,608,608,TRUE
439,608,608,TRUE
440,608,608,TRUE
441,608,608,TRUE
442,608,608,TRUE
443,608,608,TRUE
444,608,608,TRUE
445,608,608,TRUE
446,608,608,TRUE
447,608,608,TRUE
448,608,608,TRUE
449,608,608,TRUE
450,608,608,TRUE
451,608,608,TRUE
452,608,608,TRUE
453,608,608,TRUE
454,608,608,TRUE
455,608,608,TRUE
456,608,608,TRUE
457,608,608,TRUE
458,608,608,TRUE
459,608,608,TRUE
460,608,608,TRUE
461,608,608,TRUE
462,608,608,TRUE
463,608,608,TRUE
464,608,608,TRUE
465,608,608,TRUE
466,608,608,TRUE
467,608,608,TRUE
468,608,608,TRUE
469,608,608,TRUE
470,608,608,TRUE
471,608,608,TRUE
472,608,608,TRUE
473,608,608,TRUE
474,608,608,TRUE
475,608,608,TRUE
476,608,608,TRUE
477,608,608,TRUE
478,608,608,TRUE
479,608,608,TRUE
480,608,608,TRUE
481,608,608,TRUE
482,608,608,TRUE
483,608,608,TRUE
484,608,608,TRUE
485,608,608,TRUE
486,608,608,TRUE
487,608,608,TRUE
488,608,608,TRUE
489,608,608,TRUE
490,608,608,TRUE
491,608,608,TRUE
492,608,608,TRUE
493,608,608,TRUE
494,608,608,TRUE
495,608,608,TRUE
496,608,608,TRUE
497,608,608,TRUE
498,608,608,TRUE
499,608,608,TRUE
500,608,608,TRUE
501,608,608,TRUE
502,608,608,TRUE
503,608,608,TRUE
504,608,608,TRUE
505,608,608,TRUE
506,608,608,TRUE
507,608,608,TRUE
508,608,608,TRUE
509,608,608,TRUE
510,608,608,TRUE
511,608,608,TRUE
512,608,608,TRUE
513,608,608,TRUE
514,608,608,TRUE
515,608,608,TRUE
516,608,608,TRUE
517,608,608,TRUE
518,608,608,TRUE
519,608,608,TRUE
520,608,608,TRUE
521,608,608,TRUE
522,608,608,TRUE
523,608,608,TRUE
524,608,608,TRUE
525,608,608,TRUE
526,608,608,TRUE
527,608,608,TRUE
528,608,608,TRUE
529,608,608,TRUE
530,608,608,TRUE
531,608,608,TRUE
532,608,608,TRUE
533,608,608,TRUE
534,608,608,TRUE
535,608,608,TRUE
536,608,608,TRUE
537,608,608,TRUE
538,608,608,TRUE
539,608,608,TRUE
540,608,608,TRUE
541,608,608,TRUE
542,608,608,TRUE
543,608,608,TRUE
544,608,608,TRUE
545,608,608,TRUE
546,608,608,TRUE
547,608,608,TRUE
548,608,608,TRUE
549,608,608,TRUE
550,608,608,TRUE
551,608,608,TRUE
552,608,608,TRUE
553,608,608,TRUE
554,608,608,TRUE
555,608,608,TRUE
556,608,608,TRUE
557,608,608,TRUE
558,608,608,TRUE
559,608,608,TRUE
560,608,608,TRUE
561,608,608,TRUE
562,608,608,TRUE
563,608,608,TRUE
564,608,608,TRUE
565,608,608,TRUE
566,608,608,TRUE
567,608,608,TRUE
568,608,608,TRUE
569,608,608,TRUE
570,608,608,TRUE
571,608,608,TRUE
572,608,608,TRUE
573,608,608,TRUE
574,608,608,TRUE
575,608,608,TRUE
576,608,608,TRUE
577,608,608,TRUE
578,608,608,TRUE
579,608,608,TRUE
580,608,608,TRUE
581,608,608,TRUE
582,608,608,TRUE
583,608,608,TRUE
584,608,608,TRUE
585,608,608,TRUE
586,608,608,TRUE
587,608,608,TRUE
588,608,608,TRUE
589,608,608,TRUE
590,608,608,TRUE
591,608,608,TRUE
592,608,608,TRUE
593,608,608,TRUE
594,608,608,TRUE
595,608,608,TRUE
596,608,608,TRUE
597,608,608,TRUE
598,608,608,TRUE
599,608,608,TRUE
600,608,608,TRUE
601,608,608,TRUE
602,608,608,TRUE
603,608,608,TRUE
604,608,608,TRUE
605,608,608,TRUE
606,608,608,TRUE
607,608,608,TRUE
608,608,608,TRUE
609,608,608,TRUE
610,608,608,TRUE
611,608,608,TRUE
612,608,608,TRUE
613,608,608,TRUE
614,608,608,TRUE
615,608,608,TRUE
616,608,608,TRUE
617,608,608,TRUE
618,608,608,TRUE
619,608,608,TRUE
620,608,608,TRUE
621,608,608,TRUE
622,608,608,TRUE
623,608,608,TRUE
624,608,608,TRUE
625,608,608,TRUE
626,608,608,TRUE
627,608,608,TRUE
628,608,608,TRUE
629,608,608,TRUE
630,608,608,TRUE
631,608,608,TRUE
632,608,608,TRUE
633,608,608,TRUE
634,608,608,TRUE
635,608,608,TRUE
636,608,608,TRUE
637,608,608,TRUE
638,608,608,TRUE
639,608,608,TRUE
640,608,608,TRUE
641,608,608,TRUE
642,608,608,TRUE
643,608,608,TRUE
644,608,608,TRUE
645,608,608,TRUE
646,608,608,TRUE
647,608,608,TRUE
648,608,608,TRUE
649,608,608,TRUE
650,608,608,TRUE
651,608,608,TRUE
652,608,608,TRUE
653,608,608,TRUE
654,608,608,TRUE
655,608,608,TRUE
656,608,608,TRUE
657,608,608,TRUE
658,608,608,TRUE
659,608,608,TRUE
660,608,608,TRUE
661,608,608,TRUE
662,608,608,TRUE
663,608,608,TRUE
664,608,608,TRUE
665,608,608,TRUE
666,608,608,TRUE
