country_code,country,income_band,target_pct_raw,target_prop,target_pct_normalized
CL,Chile,<15000,59.5,0.5950000000000001,59.50000000000001
CL,Chile,15000_30000,22.6,0.22600000000000003,22.600000000000005
CL,Chile,30000_50000,12.1,0.12100000000000001,12.100000000000001
CL,Chile,50000_100000,5,0.05000000000000001,5.000000000000001
CL,Chile,>100000,0.7999999999999999,0.008,0.8
CO,Colombia,<15000,66.1,0.6606696651674162,66.06696651674162
CO,Colombia,15000_30000,20.200000000000003,0.20189905047476264,20.189905047476266
CO,Colombia,30000_50000,9.9,0.09895052473763119,9.89505247376312
CO,Colombia,50000_100000,3.5999999999999996,0.035982008995502246,3.598200899550225
CO,Colombia,>100000,0.25,0.0024987506246876563,0.24987506246876562
MX,Mexico,<15000,63.7,0.6366816591704149,63.668165917041485
MX,Mexico,15000_30000,21.4,0.21389305347326337,21.38930534732634
MX,Mexico,30000_50000,10.8,0.10794602698650675,10.794602698650674
MX,Mexico,50000_100000,3.9000000000000004,0.03898050974512744,3.8980509745127443
MX,Mexico,>100000,0.25,0.0024987506246876563,0.24987506246876562
