country_code,country,income_band,target_pct_raw,target_prop,target_pct_normalized,n_sample,n_valid_income,sample_prop,supported_in_sample,target_prop_supported_raw,target_mass_supported,target_mass_unsupported,target_prop_effective,target_pct_effective,selection_multiplier
CL,Chile,<15000,59.5,0.5950000000000001,59.50000000000001,26,66,0.3939393939393939,TRUE,0.5950000000000001,1.0000000000000002,-2.220446049250313e-16,0.595,59.5,1.5103846153846154
CL,Chile,15000_30000,22.6,0.22600000000000003,22.600000000000005,23,66,0.3484848484848485,TRUE,0.22600000000000003,1.0000000000000002,-2.220446049250313e-16,0.22599999999999998,22.599999999999998,0.6485217391304346
CL,Chile,30000_50000,12.1,0.12100000000000001,12.100000000000001,8,66,0.12121212121212122,TRUE,0.12100000000000001,1.0000000000000002,-2.220446049250313e-16,0.12099999999999998,12.099999999999998,0.9982499999999999
CL,Chile,50000_100000,5,0.05000000000000001,5.000000000000001,8,66,0.12121212121212122,TRUE,0.05000000000000001,1.0000000000000002,-2.220446049250313e-16,0.049999999999999996,5,0.4125
CL,Chile,>100000,0.7999999999999999,0.008,0.8,1,66,0.015151515151515152,TRUE,0.008,1.0000000000000002,-2.220446049250313e-16,0.007999999999999998,0.7999999999999998,0.5279999999999999
CO,Colombia,<15000,66.1,0.6606696651674162,66.06696651674162,2,3,0.6666666666666666,TRUE,0.6606696651674162,0.8625687156421789,0.13743128435782115,0.7659327925840093,76.59327925840093,1.148899188876014
CO,Colombia,15000_30000,20.200000000000003,0.20189905047476264,20.189905047476266,1,3,0.3333333333333333,TRUE,0.20189905047476264,0.8625687156421789,0.13743128435782115,0.23406720741599077,23.406720741599077,0.7022016222479723
CO,Colombia,30000_50000,9.9,0.09895052473763119,9.89505247376312,0,3,0,FALSE,0,0.8625687156421789,0.13743128435782115,0,0,NA
CO,Colombia,50000_100000,3.5999999999999996,0.035982008995502246,3.598200899550225,0,3,0,FALSE,0,0.8625687156421789,0.13743128435782115,0,0,NA
CO,Colombia,>100000,0.25,0.0024987506246876563,0.24987506246876562,0,3,0,FALSE,0,0.8625687156421789,0.13743128435782115,0,0,NA
MX,Mexico,<15000,63.7,0.6366816591704149,63.668165917041485,183,347,0.5273775216138329,TRUE,0.6366816591704149,1.0000000000000002,-2.220446049250313e-16,0.6366816591704147,63.66816591704148,1.2072597580990925
MX,Mexico,15000_30000,21.4,0.21389305347326337,21.38930534732634,82,347,0.23631123919308358,TRUE,0.21389305347326337,1.0000000000000002,-2.220446049250313e-16,0.21389305347326332,21.38930534732633,0.9051327994539313
MX,Mexico,30000_50000,10.8,0.10794602698650675,10.794602698650674,38,347,0.10951008645533142,TRUE,0.10794602698650675,1.0000000000000002,-2.220446049250313e-16,0.10794602698650672,10.794602698650673,0.9857176674820481
MX,Mexico,50000_100000,3.9000000000000004,0.03898050974512744,3.8980509745127443,32,347,0.09221902017291066,TRUE,0.03898050974512744,1.0000000000000002,-2.220446049250313e-16,0.038980509745127435,3.8980509745127434,0.42269490254872566
MX,Mexico,>100000,0.25,0.0024987506246876563,0.24987506246876562,12,347,0.0345821325648415,TRUE,0.0024987506246876563,1.0000000000000002,-2.220446049250313e-16,0.002498750624687656,0.2498750624687656,0.07225553889721804
