country_code,country,income_band,mean_n,sd_n,mean_prop,sd_prop,target_prop,target_prop_effective,supported_in_sample,mean_pct_bootstrap,target_pct_effective
CL,Chile,<15000,46.438,4.52024209402424,0.5953589743589743,0.05795182171825944,0.5950000000000001,0.595,TRUE,59.53589743589743,59.5
CL,Chile,15000_30000,17.636,3.7458691295259556,0.2261025641025641,0.048023963199050695,0.22600000000000003,0.22599999999999998,TRUE,22.61025641025641,22.599999999999998
CL,Chile,30000_50000,9.45,2.8048827724821828,0.12115384615384615,0.035960035544643436,0.12100000000000001,0.12099999999999998,TRUE,12.115384615384615,12.099999999999998
CL,Chile,50000_100000,3.8901322482197354,1.8130928787498153,0.04987349036179148,0.02324478049679236,0.05000000000000001,0.049999999999999996,TRUE,4.987349036179148,5
CL,Chile,>100000,1.3415637860082306,0.6147674298709804,0.017199535718054236,0.007881633716294613,0.008,0.007999999999999998,TRUE,1.7199535718054235,0.7999999999999998
CO,Colombia,<15000,10.008,1.4778768961317839,0.7698461538461538,0.11368283816398352,0.6606696651674162,0.7659327925840093,TRUE,76.98461538461538,76.59327925840093
CO,Colombia,15000_30000,3.07502569373073,1.410397575634479,0.23654043797928692,0.10849212120265156,0.20189905047476264,0.23406720741599077,TRUE,23.654043797928693,23.406720741599077
MX,Mexico,<15000,328.86,10.523647045922203,0.6360928433268859,0.02035521672325376,0.6366816591704149,0.6366816591704147,TRUE,63.60928433268859,63.66816591704148
MX,Mexico,15000_30000,110.745,8.712168322345295,0.21420696324951644,0.016851389404923225,0.21389305347326337,0.21389305347326332,TRUE,21.420696324951642,21.38930534732633
MX,Mexico,30000_50000,56.01,6.999206304209699,0.10833655705996131,0.013538116642571933,0.10794602698650675,0.10794602698650672,TRUE,10.833655705996131,10.794602698650673
MX,Mexico,50000_100000,20.149,4.235651040836561,0.03897292069632495,0.00819274862831049,0.03898050974512744,0.038980509745127435,TRUE,3.897292069632495,3.8980509745127434
MX,Mexico,>100000,1.7359550561797752,0.9280437439385973,0.003357746723751983,0.0017950555975601503,0.0024987506246876563,0.002498750624687656,TRUE,0.33577467237519826,0.2498750624687656
