"cluster","n_active_dets","active_determinants"
"cluster_1",5,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_2",9,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS; RELATEDNESS; STIMULATION; POPULARITY; MEANING"
"cluster_3",4,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY"
"cluster_4",6,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS; RELATEDNESS"
"cluster_5",8,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS; RELATEDNESS; STIMULATION; POPULARITY"
"cluster_6",4,"FINANCIAL; COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_7",3,"FINANCIAL; COMPETENCE; AUTONOMY"
