participant_id,year_of_birth,age_group,gender,country,residence_region,city_size,climate_zone,employment,education_group,work_home,type_house,tenure,political_orientation
PROLIFIC_6a229a11e392c08625a712bd,1988,Millennials,Mujer,Bulgaria,Europa del Este,Ciudad grande,Clima subtropical,Empleado/a,Universitaria,No,Otro tipo de hogar,Propiedad sin hipoteca,Centro
PROLIFIC_69f0ef9892bba1b2c3596e76,1998,Millennials,Mujer,Lithuania,Europa del Norte,Metrópolis,Clima templado,Empleado/a,Universitaria,No,Pareja sin hijos,Propiedad sin hipoteca,Centro
PROLIFIC_69249f2bf89992510c44179e,NA,NA,Mujer,Czech Republic,Europa del Este,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda
PROLIFIC_69864a7ee88ba6c6a6f798fc,1998,Millennials,Mujer,Denmark,Europa del Norte,Ciudad grande,Clima templado,Empleado/a,Universitaria,No,Vivienda compartida,Alquiler,Extrema izquierda
PROLIFIC_6a229bc24afaa132a0944070,1989,Millennials,Mujer,Bulgaria,Europa del Este,Metrópolis,Clima templado,Empleado/a,Universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Derecha
PROLIFIC_5f2dcc4c7989510ff7699cab,1995,Millennials,Mujer,Denmark,Europa del Norte,Ciudad grande,Clima templado,Estudiante,Universitaria,Sí,Pareja sin hijos,Alquiler,Izquierda
PROLIFIC_661581f5ba8868414baed7ca,2004,Generación Z,Mujer,Slovakia,Europa del Este,NA,Clima templado,Empleado/a,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Extrema izquierda
PROLIFIC_5aeb24e22bd17300018779f2,1994,Millennials,Mujer,Estonia,Europa del Norte,Ciudad mediana,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Alquiler,Extrema izquierda
PROLIFIC_6597f6dc6f784e1f69bfadfa,2004,Generación Z,Mujer,Slovakia,Europa del Este,Municipio pequeño,Clima templado,Empleado/a,No universitaria,No,Hogar con hijos,Propiedad sin hipoteca,Extrema izquierda
PROLIFIC_698b10e112e204e2d1f0c126,1992,Millennials,Mujer,Finland,Europa del Norte,Ciudad mediana,Clima frío,Estudiante,Universitaria,Sí,Vive solo/a,Alquiler,NA
PROLIFIC_6a22e126f41c2f91aaf90b28,2006,Generación Z,Mujer,Slovakia,Europa del Este,Ciudad pequeña,Clima templado,Estudiante,No universitaria,Sí,Hogar con hijos,Propiedad sin hipoteca,Extrema izquierda
PROLIFIC_697b4452d0057be21360d8d6,1986,Millennials,Mujer,Sweden,Europa del Norte,Metrópolis,Clima frío,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Centro
PROLIFIC_604dedd2805fe682c5bc51c0,1984,Generación X,Mujer,Hungary,Europa del Este,Metrópolis,Clima templado,Empleado/a,Universitaria,Sí,Pareja sin hijos,Alquiler,Derecha
PROLIFIC_5d1f54b95538e6001a843293,1983,Generación X,Mujer,Belgium,Europa Occidental,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,Sí,Hogar con hijos,Propiedad con hipoteca,Extrema izquierda
PROLIFIC_69a6fd75a40ab271c0a54fd7,1983,Generación X,Mujer,Romania,Europa del Este,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,Sí,Vivienda compartida,Alquiler,Extrema izquierda
PROLIFIC_69932173fe3deef35c4f7e70,1990,Millennials,Mujer,Luxembourg,Europa Occidental,Ciudad pequeña,Clima templado,Empleado/a,Universitaria,Sí,Vive solo/a,Propiedad sin hipoteca,Izquierda
