group,experience_short,n,total_group,percentage
Austria,Already present,8,32,25
Austria,Implemented,3,32,9.375
Austria,Searched for information,5,32,15.625
Austria,Aware / would consider,5,32,15.625
Austria,Unaware,6,32,18.75
Austria,Would never use it,5,32,15.625
Belgium,Already present,14,107,13.084112149532709
Belgium,Implemented,13,107,12.149532710280374
Belgium,Searched for information,15,107,14.018691588785046
Belgium,Aware / would consider,21,107,19.626168224299064
Belgium,Unaware,38,107,35.51401869158878
Belgium,Would never use it,6,107,5.607476635514018
Bulgaria,Already present,3,46,6.521739130434782
Bulgaria,Implemented,4,46,8.695652173913043
Bulgaria,Searched for information,9,46,19.565217391304348
Bulgaria,Aware / would consider,18,46,39.130434782608695
Bulgaria,Unaware,10,46,21.73913043478261
Bulgaria,Would never use it,2,46,4.3478260869565215
Czech Republic,Already present,14,80,17.5
Czech Republic,Implemented,5,80,6.25
Czech Republic,Searched for information,11,80,13.750000000000002
Czech Republic,Aware / would consider,19,80,23.75
Czech Republic,Unaware,23,80,28.749999999999996
Czech Republic,Would never use it,8,80,10
Denmark,Already present,6,63,9.523809523809524
Denmark,Implemented,11,63,17.46031746031746
Denmark,Searched for information,8,63,12.698412698412698
Denmark,Aware / would consider,20,63,31.746031746031743
Denmark,Unaware,7,63,11.11111111111111
Denmark,Would never use it,11,63,17.46031746031746
Estonia,Already present,10,63,15.873015873015872
Estonia,Implemented,8,63,12.698412698412698
Estonia,Searched for information,7,63,11.11111111111111
Estonia,Aware / would consider,20,63,31.746031746031743
Estonia,Unaware,12,63,19.047619047619047
Estonia,Would never use it,6,63,9.523809523809524
Finland,Already present,8,64,12.5
Finland,Implemented,6,64,9.375
Finland,Searched for information,11,64,17.1875
Finland,Aware / would consider,24,64,37.5
Finland,Unaware,8,64,12.5
Finland,Would never use it,7,64,10.9375
France,Already present,44,395,11.139240506329113
France,Implemented,54,395,13.670886075949367
France,Searched for information,63,395,15.949367088607595
France,Aware / would consider,116,395,29.367088607594937
France,Unaware,64,395,16.20253164556962
France,Would never use it,54,395,13.670886075949367
Germany,Already present,36,361,9.97229916897507
Germany,Implemented,51,361,14.127423822714682
Germany,Searched for information,88,361,24.37673130193906
Germany,Aware / would consider,101,361,27.977839335180054
Germany,Unaware,58,361,16.06648199445983
Germany,Would never use it,27,361,7.479224376731302
Greece,Already present,11,78,14.102564102564102
Greece,Implemented,18,78,23.076923076923077
Greece,Searched for information,8,78,10.256410256410255
Greece,Aware / would consider,19,78,24.358974358974358
Greece,Unaware,10,78,12.82051282051282
Greece,Would never use it,12,78,15.384615384615385
Hungary,Already present,3,63,4.761904761904762
Hungary,Implemented,9,63,14.285714285714285
Hungary,Searched for information,11,63,17.46031746031746
Hungary,Aware / would consider,32,63,50.79365079365079
Hungary,Unaware,5,63,7.936507936507936
Hungary,Would never use it,3,63,4.761904761904762
Ireland,Already present,1,22,4.545454545454546
Ireland,Implemented,8,22,36.36363636363637
