group,experience_short,n,total_group,percentage
No,Already present,289,2361,12.240576027107158
No,Implemented,501,2361,21.21982210927573
No,Searched for information,321,2361,13.595933926302415
No,Aware / would consider,714,2361,30.241423125794153
No,Unaware,312,2361,13.214739517153747
No,Would never use it,224,2361,9.487505294366795
Yes,Already present,371,3454,10.741169658367111
Yes,Implemented,626,3454,18.12391430225825
Yes,Searched for information,543,3454,15.720903300521135
Yes,Aware / would consider,1042,3454,30.1679212507238
Yes,Unaware,515,3454,14.910248986682106
Yes,Would never use it,357,3454,10.335842501447596
