variable,group,n_participants,experience_short,n_pairs,total_pairs,percentage
Generación,Boomers + generación silenciosa,105,Ya estaba presente,153,1533,9.980430528375733
Generación,Boomers + generación silenciosa,105,Implementada,409,1533,26.679712981082844
Generación,Boomers + generación silenciosa,105,Buscó información,192,1533,12.524461839530332
Generación,Boomers + generación silenciosa,105,La conoce / la consideraría,477,1533,31.115459882583167
Generación,Boomers + generación silenciosa,105,No la conoce,176,1533,11.480756686236138
Generación,Boomers + generación silenciosa,105,Nunca la usaría,126,1533,8.21917808219178
Generación,Generación X,100,Ya estaba presente,173,1550,11.161290322580646
Generación,Generación X,100,Implementada,336,1550,21.677419354838708
Generación,Generación X,100,Buscó información,212,1550,13.67741935483871
Generación,Generación X,100,La conoce / la consideraría,502,1550,32.387096774193544
Generación,Generación X,100,No la conoce,152,1550,9.806451612903226
Generación,Generación X,100,Nunca la usaría,175,1550,11.29032258064516
Generación,Generación Z,36,Ya estaba presente,68,572,11.888111888111888
Generación,Generación Z,36,Implementada,87,572,15.209790209790212
Generación,Generación Z,36,Buscó información,77,572,13.461538461538462
Generación,Generación Z,36,La conoce / la consideraría,145,572,25.34965034965035
Generación,Generación Z,36,No la conoce,141,572,24.65034965034965
Generación,Generación Z,36,Nunca la usaría,54,572,9.44055944055944
Generación,Millennials,140,Ya estaba presente,266,2203,12.074443940081707
Generación,Millennials,140,Implementada,332,2203,15.070358601906491
Generación,Millennials,140,Buscó información,376,2203,17.067635043123015
Generación,Millennials,140,La conoce / la consideraría,636,2203,28.869723104857016
Generación,Millennials,140,No la conoce,359,2203,16.295960054471177
Generación,Millennials,140,Nunca la usaría,234,2203,10.6218792555606
Género,Hombre,190,Ya estaba presente,337,2863,11.770869717079986
Género,Hombre,190,Implementada,647,2863,22.59867272092211
Género,Hombre,190,Buscó información,483,2863,16.87041564792176
Género,Hombre,190,La conoce / la consideraría,852,2863,29.758994062172544
Género,Hombre,190,No la conoce,301,2863,10.513447432762836
Género,Hombre,190,Nunca la usaría,243,2863,8.487600419140762
Género,Mujer,188,Ya estaba presente,325,2950,11.016949152542372
Género,Mujer,188,Implementada,497,2950,16.847457627118644
Género,Mujer,188,Buscó información,366,2950,12.40677966101695
Género,Mujer,188,La conoce / la consideraría,893,2950,30.271186440677965
Género,Mujer,188,No la conoce,526,2950,17.83050847457627
Género,Mujer,188,Nunca la usaría,343,2950,11.627118644067796
Género,Otro / Prefiere no decirlo,4,Ya estaba presente,6,62,9.67741935483871
Género,Otro / Prefiere no decirlo,4,Implementada,17,62,27.419354838709676
Género,Otro / Prefiere no decirlo,4,Buscó información,11,62,17.741935483870968
Género,Otro / Prefiere no decirlo,4,La conoce / la consideraría,16,62,25.806451612903224
Género,Otro / Prefiere no decirlo,4,No la conoce,6,62,9.67741935483871
Género,Otro / Prefiere no decirlo,4,Nunca la usaría,6,62,9.67741935483871
País,Austria,2,Ya estaba presente,8,32,25
País,Austria,2,Implementada,3,32,9.375
País,Austria,2,Buscó información,5,32,15.625
País,Austria,2,La conoce / la consideraría,5,32,15.625
País,Austria,2,No la conoce,6,32,18.75
País,Austria,2,Nunca la usaría,5,32,15.625
País,Belgium,7,Ya estaba presente,14,107,13.084112149532709
País,Belgium,7,Implementada,13,107,12.149532710280374
País,Belgium,7,Buscó información,15,107,14.018691588785046
País,Belgium,7,La conoce / la consideraría,21,107,19.626168224299064
País,Belgium,7,No la conoce,38,107,35.51401869158878
País,Belgium,7,Nunca la usaría,6,107,5.607476635514018
País,Bulgaria,3,Ya estaba presente,3,46,6.521739130434782
País,Bulgaria,3,Implementada,4,46,8.695652173913043
País,Bulgaria,3,Buscó información,9,46,19.565217391304348
País,Bulgaria,3,La conoce / la consideraría,18,46,39.130434782608695
País,Bulgaria,3,No la conoce,10,46,21.73913043478261
País,Bulgaria,3,Nunca la usaría,2,46,4.3478260869565215
País,Czech Republic,5,Ya estaba presente,14,80,17.5
País,Czech Republic,5,Implementada,5,80,6.25
País,Czech Republic,5,Buscó información,11,80,13.750000000000002
País,Czech Republic,5,La conoce / la consideraría,19,80,23.75
