participant_id,renovation_age_col,renovation_age_raw,technology_index,renovation_age_clean,technology,experience_clean
184,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final,"Yes, less than 5 years ago",2,Hace menos de 5 años,Cambio de tarifa eléctrica,I have installed / implemented / am currently doing this myself
184,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,"Yes, less than 5 years ago",4,Hace menos de 5 años,Agua caliente sanitaria,I have installed / implemented / am currently doing this myself
184,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator_final,I do not know,6,No lo sé,Ascensor,Already present when I moved in
184,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_efficient_appliances_final,"Yes, less than 5 years ago",7,Hace menos de 5 años,Electrodomésticos eficientes,I have installed / implemented / am currently doing this myself
184,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,"Yes, less than 5 years ago",9,Hace menos de 5 años,Renovación de envolvente,Already present when I moved in
184,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption_final,"Yes, less than 5 years ago",14,Hace menos de 5 años,Medidas de microeficiencia,I have installed / implemented / am currently doing this myself
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_balcony_solar_kits_final,Never or more than 25 years ago,1,Hace más de 25 años / nunca actualizada,Kits solares de balcón,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final,"Yes, less than 5 years ago",2,Hace menos de 5 años,Cambio de tarifa eléctrica,I have installed / implemented / am currently doing this myself
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_cooling_system_final,Never or more than 25 years ago,3,Hace más de 25 años / nunca actualizada,Sistema de refrigeración,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,"Yes, between 25 and 15 years ago",4,Hace 15-25 años,Agua caliente sanitaria,I have installed / implemented / am currently doing this myself
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_electric_vehicle_final,Never or more than 25 years ago,5,Hace más de 25 años / nunca actualizada,Vehículo eléctrico,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator_final,Never or more than 25 years ago,6,Hace más de 25 años / nunca actualizada,Ascensor,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_efficient_appliances_final,"Yes, between 25 and 15 years ago",7,Hace 15-25 años,Electrodomésticos eficientes,I have installed / implemented / am currently doing this myself
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_storage_systems_final,Never or more than 25 years ago,8,Hace más de 25 años / nunca actualizada,Almacenamiento energético,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_envelope_renovation_e_g_wall_roof_insulation_double_windows_final,"Yes, between 25 and 15 years ago",9,Hace 15-25 años,Renovación de envolvente,I have installed / implemented / am currently doing this myself
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_fosil_fuel_or_biomass_based_heating_system_final,Never or more than 25 years ago,10,Hace más de 25 años / nunca actualizada,Calefacción fósil o biomasa,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_pump_based_heating_system_final,Never or more than 25 years ago,11,Hace más de 25 años / nunca actualizada,Bomba de calor,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_recovery_mechanical_ventilation_final,Never or more than 25 years ago,12,Hace más de 25 años / nunca actualizada,Ventilación con recuperador,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_join_an_energy_community_final,Never or more than 25 years ago,13,Hace más de 25 años / nunca actualizada,Comunidad energética,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption_final,"Yes, less than 5 years ago",14,Hace menos de 5 años,Medidas de microeficiencia,I have installed / implemented / am currently doing this myself
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_rooftop_photovoltaic_system_solar_pv_final,Never or more than 25 years ago,15,Hace más de 25 años / nunca actualizada,Fotovoltaica en cubierta,Already present when I moved in
185,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_smart_home_systems_final,Never or more than 25 years ago,16,Hace más de 25 años / nunca actualizada,Sistemas inteligentes del hogar,Already present when I moved in
186,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final,I do not know,2,No lo sé,Cambio de tarifa eléctrica,I have installed / implemented / am currently doing this myself
186,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system_final,"Yes, between 25 and 15 years ago",4,Hace 15-25 años,Agua caliente sanitaria,Already present when I moved in
186,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator_final,Never or more than 25 years ago,6,Hace más de 25 años / nunca actualizada,Ascensor,Already present when I moved in
186,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_fosil_fuel_or_biomass_based_heating_system_final,"Yes, between 25 and 15 years ago",10,Hace 15-25 años,Calefacción fósil o biomasa,Already present when I moved in
186,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption_final,"Yes, less than 5 years ago",14,Hace menos de 5 años,Medidas de microeficiencia,I have installed / implemented / am currently doing this myself
187,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff_final,"Yes, between 15 and 5 years ago",2,Hace 5-15 años,Cambio de tarifa eléctrica,I have installed / implemented / am currently doing this myself
187,please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_cooling_system_final,"Yes, between 15 and 5 years ago",3,Hace 5-15 años,Sistema de refrigeración,Already present when I moved in
