technology,experience_short,n,total_technology,percentage
Balcony solar kits,Already present,7,367,1.9073569482288828
Balcony solar kits,Implemented,18,367,4.904632152588556
Balcony solar kits,Searched for information,54,367,14.713896457765669
Balcony solar kits,Aware / would consider,156,367,42.50681198910082
Balcony solar kits,Unaware,89,367,24.250681198910083
Balcony solar kits,Would never use it,43,367,11.716621253405995
Cooling system,Already present,22,375,5.866666666666666
Cooling system,Implemented,66,375,17.599999999999998
Cooling system,Searched for information,49,375,13.066666666666665
Cooling system,Aware / would consider,121,375,32.266666666666666
Cooling system,Unaware,58,375,15.466666666666667
Cooling system,Would never use it,59,375,15.733333333333333
Domestic hot water system,Already present,165,375,44
Domestic hot water system,Implemented,97,375,25.866666666666667
Domestic hot water system,Searched for information,32,375,8.533333333333333
Domestic hot water system,Aware / would consider,51,375,13.600000000000001
Domestic hot water system,Unaware,21,375,5.6000000000000005
Domestic hot water system,Would never use it,9,375,2.4
Electric vehicle,Already present,7,384,1.8229166666666667
Electric vehicle,Implemented,51,384,13.28125
Electric vehicle,Searched for information,99,384,25.78125
Electric vehicle,Aware / would consider,176,384,45.83333333333333
Electric vehicle,Unaware,7,384,1.8229166666666667
Electric vehicle,Would never use it,44,384,11.458333333333332
Electricity tariff change,Already present,19,385,4.935064935064935
Electricity tariff change,Implemented,137,385,35.58441558441559
Electricity tariff change,Searched for information,82,385,21.298701298701296
Electricity tariff change,Aware / would consider,84,385,21.818181818181817
Electricity tariff change,Unaware,54,385,14.025974025974024
Electricity tariff change,Would never use it,9,385,2.3376623376623376
Elevator,Already present,146,376,38.82978723404255
Elevator,Implemented,21,376,5.585106382978723
Elevator,Searched for information,17,376,4.521276595744681
Elevator,Aware / would consider,66,376,17.5531914893617
Elevator,Unaware,9,376,2.393617021276596
Elevator,Would never use it,117,376,31.117021276595747
Energy community,Already present,18,368,4.891304347826087
Energy community,Implemented,53,368,14.402173913043478
Energy community,Searched for information,49,368,13.31521739130435
Energy community,Aware / would consider,136,368,36.95652173913043
Energy community,Unaware,79,368,21.467391304347828
Energy community,Would never use it,33,368,8.967391304347826
Energy storage systems,Already present,11,385,2.857142857142857
Energy storage systems,Implemented,29,385,7.532467532467532
Energy storage systems,Searched for information,77,385,20
Energy storage systems,Aware / would consider,179,385,46.493506493506494
Energy storage systems,Unaware,68,385,17.662337662337663
Energy storage systems,Would never use it,21,385,5.454545454545454
Energy-efficient appliances,Already present,34,384,8.854166666666668
Energy-efficient appliances,Implemented,170,384,44.27083333333333
Energy-efficient appliances,Searched for information,74,384,19.270833333333336
Energy-efficient appliances,Aware / would consider,76,384,19.791666666666664
Energy-efficient appliances,Unaware,24,384,6.25
Energy-efficient appliances,Would never use it,6,384,1.5625
Envelope renovation,Already present,93,387,24.031007751937985
Envelope renovation,Implemented,110,387,28.42377260981912
Envelope renovation,Searched for information,52,387,13.436692506459949
Envelope renovation,Aware / would consider,100,387,25.839793281653744
Envelope renovation,Unaware,17,387,4.3927648578811365
Envelope renovation,Would never use it,15,387,3.875968992248062
Fossil fuel or biomass heating,Already present,74,374,19.786096256684495
Fossil fuel or biomass heating,Implemented,37,374,9.893048128342247
Fossil fuel or biomass heating,Searched for information,38,374,10.16042780748663
Fossil fuel or biomass heating,Aware / would consider,61,374,16.31016042780749
Fossil fuel or biomass heating,Unaware,63,374,16.844919786096256
Fossil fuel or biomass heating,Would never use it,101,374,27.00534759358289
Heat pump,Already present,24,366,6.557377049180328
Heat pump,Implemented,45,366,12.295081967213115
Heat pump,Searched for information,53,366,14.48087431693989
Heat pump,Aware / would consider,127,366,34.69945355191257
Heat pump,Unaware,89,366,24.316939890710383
Heat pump,Would never use it,28,366,7.650273224043716
Heat recovery ventilation,Already present,13,379,3.430079155672823
Heat recovery ventilation,Implemented,24,379,6.33245382585752
Heat recovery ventilation,Searched for information,38,379,10.026385224274406
Heat recovery ventilation,Aware / would consider,92,379,24.274406332453825
Heat recovery ventilation,Unaware,173,379,45.64643799472295
Heat recovery ventilation,Would never use it,39,379,10.29023746701847
Micro-efficiency measures,Already present,26,386,6.7357512953367875
Micro-efficiency measures,Implemented,212,386,54.92227979274611
Micro-efficiency measures,Searched for information,57,386,14.766839378238341
Micro-efficiency measures,Aware / would consider,53,386,13.730569948186528
Micro-efficiency measures,Unaware,29,386,7.512953367875648
Micro-efficiency measures,Would never use it,9,386,2.33160621761658
Rooftop photovoltaic system,Already present,15,387,3.875968992248062
Rooftop photovoltaic system,Implemented,65,387,16.795865633074936
Rooftop photovoltaic system,Searched for information,84,387,21.705426356589147
Rooftop photovoltaic system,Aware / would consider,165,387,42.63565891472868
Rooftop photovoltaic system,Unaware,38,387,9.819121447028424
Rooftop photovoltaic system,Would never use it,20,387,5.167958656330749
Smart home systems,Already present,11,383,2.8720626631853787
Smart home systems,Implemented,57,383,14.882506527415144
Smart home systems,Searched for information,73,383,19.06005221932115
Smart home systems,Aware / would consider,147,383,38.38120104438642
Smart home systems,Unaware,38,383,9.921671018276761
Smart home systems,Would never use it,57,383,14.882506527415144
